"","immunity","IPC","Network","simulationCTC","incSarscov2","incIndex","incCommCases","incNosocomial","testingRound","incSymptoms","typeDailyScreening","targetDailyScreening","stratSurveillance","PCR.n_positive_and_tested","PCR.n_test","PCR.n_test_positive","PCR.n_test_true_positive","PCR.n_test_false_positive","PCR.n_test_true_negative","PCR.n_test_false_negative","RDT.n_positive_and_tested","RDT.n_test","RDT.n_test_positive","RDT.n_test_true_positive","RDT.n_test_false_positive","RDT.n_test_true_negative","RDT.n_test_false_negative","infAverted"
"1","0.20.2","1","2","4","26","4","2","20","1","77","PCR","Patients","adm","0","36","0","0","0","36","0","0","0","0","0","0","0","0","0"
"2","0.20.2","1","2","4","26","4","2","20","1","77","PCR","Patients","sym","12","77","7","7","0","65","5","0","0","0","0","0","0","0","6"
"3","0.20.2","1","2","4","26","4","2","20","1","77","PCR","Patients","adm_sym","12","113","7","7","0","101","5","0","0","0","0","0","0","0","6"
"4","0.20.2","1","2","4","26","4","2","20","1","77","PCR","Patients","d01","1","151","0","0","0","150","1","0","0","0","0","0","0","0","0"
"5","0.20.2","1","2","4","26","4","2","20","1","77","PCR","Patients","d02","1","152","0","0","0","151","1","0","0","0","0","0","0","0","0"
"6","0.20.2","1","2","4","26","4","2","20","1","77","PCR","Patients","d03","1","153","1","1","0","152","0","0","0","0","0","0","0","0","6"
"7","0.20.2","1","2","4","26","4","2","20","1","77","PCR","Patients","d04","1","156","1","1","0","155","0","0","0","0","0","0","0","0","3"
"8","0.20.2","1","2","4","26","4","2","20","1","77","PCR","Patients","d05","2","158","2","2","0","156","0","0","0","0","0","0","0","0","5"
"9","0.20.2","1","2","4","26","4","2","20","1","77","PCR","Patients","d06","2","154","2","2","0","152","0","0","0","0","0","0","0","0","5"
"10","0.20.2","1","2","4","26","4","2","20","1","77","PCR","Patients","d07","2","153","1","1","0","151","1","0","0","0","0","0","0","0","3"
"11","0.20.2","1","2","4","26","4","2","20","1","77","PCR","Patients","d08","3","159","1","1","0","156","2","0","0","0","0","0","0","0","1"
"12","0.20.2","1","2","4","26","4","2","20","1","77","PCR","Patients","d09","5","159","4","4","0","154","1","0","0","0","0","0","0","0","3"
"13","0.20.2","1","2","4","26","4","2","20","1","77","PCR","Patients","adm_sym_d01","13","264","7","7","0","251","6","0","0","0","0","0","0","0","6"
"14","0.20.2","1","2","4","26","4","2","20","1","77","PCR","Patients","adm_sym_d02","13","265","7","7","0","252","6","0","0","0","0","0","0","0","6"
"15","0.20.2","1","2","4","26","4","2","20","1","77","PCR","Patients","adm_sym_d03","13","266","8","8","0","253","5","0","0","0","0","0","0","0","12"
"16","0.20.2","1","2","4","26","4","2","20","1","77","PCR","Patients","adm_sym_d04","13","269","8","8","0","256","5","0","0","0","0","0","0","0","9"
"17","0.20.2","1","2","4","26","4","2","20","1","77","PCR","Patients","adm_sym_d05","14","271","9","9","0","257","5","0","0","0","0","0","0","0","11"
"18","0.20.2","1","2","4","26","4","2","20","1","77","PCR","Patients","adm_sym_d06","14","267","9","9","0","253","5","0","0","0","0","0","0","0","11"
"19","0.20.2","1","2","4","26","4","2","20","1","77","PCR","Patients","adm_sym_d07","14","266","8","8","0","252","6","0","0","0","0","0","0","0","9"
"20","0.20.2","1","2","4","26","4","2","20","1","77","PCR","Patients","adm_sym_d08","15","272","8","8","0","257","7","0","0","0","0","0","0","0","7"
"21","0.20.2","1","2","4","26","4","2","20","1","77","PCR","Patients","adm_sym_d09","17","272","11","11","0","255","6","0","0","0","0","0","0","0","9"
"22","0.20.2","1","2","4","26","4","2","20","1","77","PCR","Patients","adm_sym_d01_d02","14","416","7","7","0","402","7","0","0","0","0","0","0","0","6"
