"","immunity","IPC","Network","simulationCTC","incSarscov2","incIndex","incCommCases","incNosocomial","testingRound","incSymptoms","typeDailyScreening","targetDailyScreening","stratSurveillance","PCR.n_positive_and_tested","PCR.n_test","PCR.n_test_positive","PCR.n_test_true_positive","PCR.n_test_false_positive","PCR.n_test_true_negative","PCR.n_test_false_negative","RDT.n_positive_and_tested","RDT.n_test","RDT.n_test_positive","RDT.n_test_true_positive","RDT.n_test_false_positive","RDT.n_test_true_negative","RDT.n_test_false_negative","infAverted"
"1","0.20.2","1","1","4","30","4","3","23","1","81","PCR","Patients","adm","1","36","1","1","0","35","0","0","0","0","0","0","0","0","0"
"2","0.20.2","1","1","4","30","4","3","23","1","81","PCR","Patients","sym","11","81","8","8","0","70","3","0","0","0","0","0","0","0","6"
"3","0.20.2","1","1","4","30","4","3","23","1","81","PCR","Patients","adm_sym","12","117","9","9","0","105","3","0","0","0","0","0","0","0","6"
"4","0.20.2","1","1","4","30","4","3","23","1","81","PCR","Patients","d01","1","151","1","1","0","150","0","0","0","0","0","0","0","0","15"
"5","0.20.2","1","1","4","30","4","3","23","1","81","PCR","Patients","d02","1","152","0","0","0","151","1","0","0","0","0","0","0","0","0"
"6","0.20.2","1","1","4","30","4","3","23","1","81","PCR","Patients","d03","1","153","1","1","0","152","0","0","0","0","0","0","0","0","15"
"7","0.20.2","1","1","4","30","4","3","23","1","81","PCR","Patients","d04","1","156","1","1","0","155","0","0","0","0","0","0","0","0","7"
"8","0.20.2","1","1","4","30","4","3","23","1","81","PCR","Patients","d05","2","158","2","2","0","156","0","0","0","0","0","0","0","0","14"
"9","0.20.2","1","1","4","30","4","3","23","1","81","PCR","Patients","d06","2","154","0","0","0","152","2","0","0","0","0","0","0","0","0"
"10","0.20.2","1","1","4","30","4","3","23","1","81","PCR","Patients","d07","2","153","1","1","0","151","1","0","0","0","0","0","0","0","7"
"11","0.20.2","1","1","4","30","4","3","23","1","81","PCR","Patients","d08","2","159","2","2","0","157","0","0","0","0","0","0","0","0","6"
"12","0.20.2","1","1","4","30","4","3","23","1","81","PCR","Patients","d09","3","159","2","2","0","156","1","0","0","0","0","0","0","0","6"
"13","0.20.2","1","1","4","30","4","3","23","1","81","PCR","Patients","adm_sym_d01","13","268","10","10","0","255","3","0","0","0","0","0","0","0","15"
"14","0.20.2","1","1","4","30","4","3","23","1","81","PCR","Patients","adm_sym_d02","13","269","9","9","0","256","4","0","0","0","0","0","0","0","6"
"15","0.20.2","1","1","4","30","4","3","23","1","81","PCR","Patients","adm_sym_d03","13","270","10","10","0","257","3","0","0","0","0","0","0","0","15"
"16","0.20.2","1","1","4","30","4","3","23","1","81","PCR","Patients","adm_sym_d04","13","273","10","10","0","260","3","0","0","0","0","0","0","0","10"
"17","0.20.2","1","1","4","30","4","3","23","1","81","PCR","Patients","adm_sym_d05","14","275","11","11","0","261","3","0","0","0","0","0","0","0","14"
"18","0.20.2","1","1","4","30","4","3","23","1","81","PCR","Patients","adm_sym_d06","14","271","9","9","0","257","5","0","0","0","0","0","0","0","6"
"19","0.20.2","1","1","4","30","4","3","23","1","81","PCR","Patients","adm_sym_d07","14","270","10","10","0","256","4","0","0","0","0","0","0","0","10"
"20","0.20.2","1","1","4","30","4","3","23","1","81","PCR","Patients","adm_sym_d08","14","276","11","11","0","262","3","0","0","0","0","0","0","0","6"
"21","0.20.2","1","1","4","30","4","3","23","1","81","PCR","Patients","adm_sym_d09","15","276","11","11","0","261","4","0","0","0","0","0","0","0","9"
"22","0.20.2","1","1","4","30","4","3","23","1","81","PCR","Patients","adm_sym_d01_d02","14","420","10","10","0","406","4","0","0","0","0","0","0","0","15"
"23","0.20.2","1","1","4","30","4","3","23","1","81","PCR","Patients","adm_sym_d01_d03","14","421","11","11","0","407","3","0","0","0","0","0","0","0","15"
"24","0.20.2","1","1","4","30","4","3","23","1","81","PCR","Patients","adm_sym_d01_d04","14","424","11","11","0","410","3","0","0","0","0","0","0","0","15"
"25","0.20.2","1","1","4","30","4","3","23","1","81","PCR","Patients","adm_sym_d01_d05","15","426","12","12","0","411","3","0","0","0","0","0","0","0","15"
"26","0.20.2","1","1","4","30","4","3","23","1","81","PCR","Patients","adm_sym_d01_d06","15","422","10","10","0","407","5","0","0","0","0","0","0","0","15"
"27","0.20.2","1","1","4","30","4","3","23","1","81","PCR","Patients","adm_sym_d01_d07","15","421","11","11","0","406","4","0","0","0","0","0","0","0","15"
"28","0.20.2","1","1","4","30","4","3","23","1","81","PCR","Patients","adm_sym_d01_d08","15","427","12","12","0","412","3","0","0","0","0","0","0","0","15"
"29","0.20.2","1","1","4","30","4","3","23","1","81","PCR","Patients","adm_sym_d01_d09","16","427","12","12","0","411","4","0","0","0","0","0","0","0","15"
"30","0.20.2","1","1","4","30","4","3","23","1","81","PCR","Staff","adm","1","36","1","1","0","35","0","0","0","0","0","0","0","0","0"
"31","0.20.2","1","1","4","30","4","3","23","1","81","PCR","Staff","sym","11","81","8","8","0","70","3","0","0","0","0","0","0","0","6"
"32","0.20.2","1","1","4","30","4","3","23","1","81","PCR","Staff","adm_sym","12","117","9","9","0","105","3","0","0","0","0","0","0","0","6"
"33","0.20.2","1","1","4","30","4","3","23","1","81","PCR","Staff","d01","3","236","2","2","0","233","1","0","0","0","0","0","0","0","3"
"34","0.20.2","1","1","4","30","4","3","23","1","81","PCR","Staff","d02","3","237","2","2","0","234","1","0","0","0","0","0","0","0","3"
"35","0.20.2","1","1","4","30","4","3","23","1","81","PCR","Staff","d03","3","238","3","3","0","235","0","0","0","0","0","0","0","0","6"
"36","0.20.2","1","1","4","30","4","3","23","1","81","PCR","Staff","d04","4","239","4","4","0","235","0","0","0","0","0","0","0","0","5"
"37","0.20.2","1","1","4","30","4","3","23","1","81","PCR","Staff","d05","5","239","3","3","0","234","2","0","0","0","0","0","0","0","2"
"38","0.20.2","1","1","4","30","4","3","23","1","81","PCR","Staff","d06","6","239","4","4","0","233","2","0","0","0","0","0","0","0","2"
"39","0.20.2","1","1","4","30","4","3","23","1","81","PCR","Staff","d07","6","239","4","4","0","233","2","0","0","0","0","0","0","0","4"
"40","0.20.2","1","1","4","30","4","3","23","1","81","PCR","Staff","d08","8","239","3","3","0","231","5","0","0","0","0","0","0","0","3"
"41","0.20.2","1","1","4","30","4","3","23","1","81","PCR","Staff","d09","8","239","3","3","0","231","5","0","0","0","0","0","0","0","1"
"42","0.20.2","1","1","4","30","4","3","23","1","81","PCR","Staff","adm_sym_d01","15","353","11","11","0","338","4","0","0","0","0","0","0","0","9"
"43","0.20.2","1","1","4","30","4","3","23","1","81","PCR","Staff","adm_sym_d02","15","354","11","11","0","339","4","0","0","0","0","0","0","0","9"
"44","0.20.2","1","1","4","30","4","3","23","1","81","PCR","Staff","adm_sym_d03","15","355","12","12","0","340","3","0","0","0","0","0","0","0","12"
"45","0.20.2","1","1","4","30","4","3","23","1","81","PCR","Staff","adm_sym_d04","16","356","13","13","0","340","3","0","0","0","0","0","0","0","11"
"46","0.20.2","1","1","4","30","4","3","23","1","81","PCR","Staff","adm_sym_d05","17","356","12","12","0","339","5","0","0","0","0","0","0","0","8"
"47","0.20.2","1","1","4","30","4","3","23","1","81","PCR","Staff","adm_sym_d06","18","356","13","13","0","338","5","0","0","0","0","0","0","0","8"
"48","0.20.2","1","1","4","30","4","3","23","1","81","PCR","Staff","adm_sym_d07","18","356","13","13","0","338","5","0","0","0","0","0","0","0","10"
"49","0.20.2","1","1","4","30","4","3","23","1","81","PCR","Staff","adm_sym_d08","20","356","12","12","0","336","8","0","0","0","0","0","0","0","9"
"50","0.20.2","1","1","4","30","4","3","23","1","81","PCR","Staff","adm_sym_d09","20","356","12","12","0","336","8","0","0","0","0","0","0","0","7"
"51","0.20.2","1","1","4","30","4","3","23","1","81","PCR","Staff","adm_sym_d01_d02","18","590","13","13","0","572","5","0","0","0","0","0","0","0","12"
"52","0.20.2","1","1","4","30","4","3","23","1","81","PCR","Staff","adm_sym_d01_d03","18","591","14","14","0","573","4","0","0","0","0","0","0","0","12"
"53","0.20.2","1","1","4","30","4","3","23","1","81","PCR","Staff","adm_sym_d01_d04","19","592","15","15","0","573","4","0","0","0","0","0","0","0","11"
"54","0.20.2","1","1","4","30","4","3","23","1","81","PCR","Staff","adm_sym_d01_d05","20","592","14","14","0","572","6","0","0","0","0","0","0","0","11"
"55","0.20.2","1","1","4","30","4","3","23","1","81","PCR","Staff","adm_sym_d01_d06","21","592","15","15","0","571","6","0","0","0","0","0","0","0","9"
"56","0.20.2","1","1","4","30","4","3","23","1","81","PCR","Staff","adm_sym_d01_d07","21","592","15","15","0","571","6","0","0","0","0","0","0","0","11"
"57","0.20.2","1","1","4","30","4","3","23","1","81","PCR","Staff","adm_sym_d01_d08","23","592","14","14","0","569","9","0","0","0","0","0","0","0","12"
"58","0.20.2","1","1","4","30","4","3","23","1","81","PCR","Staff","adm_sym_d01_d09","23","592","14","14","0","569","9","0","0","0","0","0","0","0","10"
"59","0.20.2","1","1","4","30","4","3","23","1","81","PCR","All","adm","1","36","1","1","0","35","0","0","0","0","0","0","0","0","0"
"60","0.20.2","1","1","4","30","4","3","23","1","81","PCR","All","sym","11","81","8","8","0","70","3","0","0","0","0","0","0","0","6"
"61","0.20.2","1","1","4","30","4","3","23","1","81","PCR","All","adm_sym","12","117","9","9","0","105","3","0","0","0","0","0","0","0","6"
"62","0.20.2","1","1","4","30","4","3","23","1","81","PCR","All","d01","4","387","2","2","0","383","2","0","0","0","0","0","0","0","6"
"63","0.20.2","1","1","4","30","4","3","23","1","81","PCR","All","d02","4","389","2","2","0","385","2","0","0","0","0","0","0","0","15"
"64","0.20.2","1","1","4","30","4","3","23","1","81","PCR","All","d03","4","391","2","2","0","387","2","0","0","0","0","0","0","0","18"
"65","0.20.2","1","1","4","30","4","3","23","1","81","PCR","All","d04","5","395","4","4","0","390","1","0","0","0","0","0","0","0","12"
"66","0.20.2","1","1","4","30","4","3","23","1","81","PCR","All","d05","7","397","7","7","0","390","0","0","0","0","0","0","0","0","18"
"67","0.20.2","1","1","4","30","4","3","23","1","81","PCR","All","d06","8","393","4","4","0","385","4","0","0","0","0","0","0","0","14"
"68","0.20.2","1","1","4","30","4","3","23","1","81","PCR","All","d07","8","392","8","8","0","384","0","0","0","0","0","0","0","0","14"
"69","0.20.2","1","1","4","30","4","3","23","1","81","PCR","All","d08","10","398","6","6","0","388","4","0","0","0","0","0","0","0","4"
"70","0.20.2","1","1","4","30","4","3","23","1","81","PCR","All","d09","11","398","8","8","0","387","3","0","0","0","0","0","0","0","7"
"71","0.20.2","1","1","4","30","4","3","23","1","81","PCR","All","adm_sym_d01","16","504","11","11","0","488","5","0","0","0","0","0","0","0","12"
"72","0.20.2","1","1","4","30","4","3","23","1","81","PCR","All","adm_sym_d02","16","506","11","11","0","490","5","0","0","0","0","0","0","0","15"
"73","0.20.2","1","1","4","30","4","3","23","1","81","PCR","All","adm_sym_d03","16","508","11","11","0","492","5","0","0","0","0","0","0","0","18"
"74","0.20.2","1","1","4","30","4","3","23","1","81","PCR","All","adm_sym_d04","17","512","13","13","0","495","4","0","0","0","0","0","0","0","15"
"75","0.20.2","1","1","4","30","4","3","23","1","81","PCR","All","adm_sym_d05","19","514","16","16","0","495","3","0","0","0","0","0","0","0","18"
"76","0.20.2","1","1","4","30","4","3","23","1","81","PCR","All","adm_sym_d06","20","510","13","13","0","490","7","0","0","0","0","0","0","0","14"
"77","0.20.2","1","1","4","30","4","3","23","1","81","PCR","All","adm_sym_d07","20","509","17","17","0","489","3","0","0","0","0","0","0","0","14"
"78","0.20.2","1","1","4","30","4","3","23","1","81","PCR","All","adm_sym_d08","22","515","15","15","0","493","7","0","0","0","0","0","0","0","7"
"79","0.20.2","1","1","4","30","4","3","23","1","81","PCR","All","adm_sym_d09","23","515","17","17","0","492","6","0","0","0","0","0","0","0","10"
"80","0.20.2","1","1","4","30","4","3","23","1","81","PCR","All","adm_sym_d01_d02","20","893","13","13","0","873","7","0","0","0","0","0","0","0","21"
"81","0.20.2","1","1","4","30","4","3","23","1","81","PCR","All","adm_sym_d01_d03","20","895","13","13","0","875","7","0","0","0","0","0","0","0","21"
"82","0.20.2","1","1","4","30","4","3","23","1","81","PCR","All","adm_sym_d01_d04","21","899","15","15","0","878","6","0","0","0","0","0","0","0","16"
"83","0.20.2","1","1","4","30","4","3","23","1","81","PCR","All","adm_sym_d01_d05","23","901","18","18","0","878","5","0","0","0","0","0","0","0","20"
"84","0.20.2","1","1","4","30","4","3","23","1","81","PCR","All","adm_sym_d01_d06","24","897","15","15","0","873","9","0","0","0","0","0","0","0","20"
"85","0.20.2","1","1","4","30","4","3","23","1","81","PCR","All","adm_sym_d01_d07","24","896","19","19","0","872","5","0","0","0","0","0","0","0","16"
"86","0.20.2","1","1","4","30","4","3","23","1","81","PCR","All","adm_sym_d01_d08","26","902","17","17","0","876","9","0","0","0","0","0","0","0","13"
"87","0.20.2","1","1","4","30","4","3","23","1","81","PCR","All","adm_sym_d01_d09","27","902","19","19","0","875","8","0","0","0","0","0","0","0","16"
"88","0.20.2","1","1","4","30","4","3","23","1","81","RDT1","Patients","adm","1","36","1","1","0","35","0","0","0","0","0","0","0","0","0"
"89","0.20.2","1","1","4","30","4","3","23","1","81","RDT1","Patients","sym","11","81","8","8","0","70","3","0","0","0","0","0","0","0","6"
"90","0.20.2","1","1","4","30","4","3","23","1","81","RDT1","Patients","adm_sym","12","117","9","9","0","105","3","0","0","0","0","0","0","0","6"
"91","0.20.2","1","1","4","30","4","3","23","1","81","RDT1","Patients","d01","0","0","0","0","0","0","0","1","151","0","0","0","150","1","0"
"92","0.20.2","1","1","4","30","4","3","23","1","81","RDT1","Patients","d02","0","0","0","0","0","0","0","1","152","1","1","0","151","0","15"
"93","0.20.2","1","1","4","30","4","3","23","1","81","RDT1","Patients","d03","0","0","0","0","0","0","0","1","153","0","0","0","152","1","0"
"94","0.20.2","1","1","4","30","4","3","23","1","81","RDT1","Patients","d04","0","0","0","0","0","0","0","1","156","1","1","0","155","0","15"
"95","0.20.2","1","1","4","30","4","3","23","1","81","RDT1","Patients","d05","0","0","0","0","0","0","0","2","158","1","1","0","156","1","7"
"96","0.20.2","1","1","4","30","4","3","23","1","81","RDT1","Patients","d06","0","0","0","0","0","0","0","2","154","1","1","0","152","1","7"
"97","0.20.2","1","1","4","30","4","3","23","1","81","RDT1","Patients","d07","0","0","0","0","0","0","0","2","153","1","1","0","151","1","7"
"98","0.20.2","1","1","4","30","4","3","23","1","81","RDT1","Patients","d08","0","0","0","0","0","0","0","2","159","1","1","0","157","1","3"
"99","0.20.2","1","1","4","30","4","3","23","1","81","RDT1","Patients","d09","0","0","0","0","0","0","0","3","159","1","1","0","156","2","3"
"100","0.20.2","1","1","4","30","4","3","23","1","81","RDT1","Patients","adm_sym_d01","12","117","9","9","0","105","3","1","151","0","0","0","150","1","6"
"101","0.20.2","1","1","4","30","4","3","23","1","81","RDT1","Patients","adm_sym_d02","12","117","9","9","0","105","3","1","152","1","1","0","151","0","15"
"102","0.20.2","1","1","4","30","4","3","23","1","81","RDT1","Patients","adm_sym_d03","12","117","9","9","0","105","3","1","153","0","0","0","152","1","6"
"103","0.20.2","1","1","4","30","4","3","23","1","81","RDT1","Patients","adm_sym_d04","12","117","9","9","0","105","3","1","156","1","1","0","155","0","15"
"104","0.20.2","1","1","4","30","4","3","23","1","81","RDT1","Patients","adm_sym_d05","12","117","9","9","0","105","3","2","158","1","1","0","156","1","10"
"105","0.20.2","1","1","4","30","4","3","23","1","81","RDT1","Patients","adm_sym_d06","12","117","9","9","0","105","3","2","154","1","1","0","152","1","10"
"106","0.20.2","1","1","4","30","4","3","23","1","81","RDT1","Patients","adm_sym_d07","12","117","9","9","0","105","3","2","153","1","1","0","151","1","10"
"107","0.20.2","1","1","4","30","4","3","23","1","81","RDT1","Patients","adm_sym_d08","12","117","9","9","0","105","3","2","159","1","1","0","157","1","6"
"108","0.20.2","1","1","4","30","4","3","23","1","81","RDT1","Patients","adm_sym_d09","12","117","9","9","0","105","3","3","159","1","1","0","156","2","9"
"109","0.20.2","1","1","4","30","4","3","23","1","81","RDT1","Patients","adm_sym_d01_d02","12","117","9","9","0","105","3","2","303","1","1","0","301","1","15"
"110","0.20.2","1","1","4","30","4","3","23","1","81","RDT1","Patients","adm_sym_d01_d03","12","117","9","9","0","105","3","2","304","0","0","0","302","2","6"
"111","0.20.2","1","1","4","30","4","3","23","1","81","RDT1","Patients","adm_sym_d01_d04","12","117","9","9","0","105","3","2","307","1","1","0","305","1","15"
"112","0.20.2","1","1","4","30","4","3","23","1","81","RDT1","Patients","adm_sym_d01_d05","12","117","9","9","0","105","3","3","309","1","1","0","306","2","10"
"113","0.20.2","1","1","4","30","4","3","23","1","81","RDT1","Patients","adm_sym_d01_d06","12","117","9","9","0","105","3","3","305","1","1","0","302","2","10"
"114","0.20.2","1","1","4","30","4","3","23","1","81","RDT1","Patients","adm_sym_d01_d07","12","117","9","9","0","105","3","3","304","1","1","0","301","2","10"
"115","0.20.2","1","1","4","30","4","3","23","1","81","RDT1","Patients","adm_sym_d01_d08","12","117","9","9","0","105","3","3","310","1","1","0","307","2","6"
"116","0.20.2","1","1","4","30","4","3","23","1","81","RDT1","Patients","adm_sym_d01_d09","12","117","9","9","0","105","3","4","310","1","1","0","306","3","9"
"117","0.20.2","1","1","4","30","4","3","23","1","81","RDT1","Staff","adm","1","36","1","1","0","35","0","0","0","0","0","0","0","0","0"
"118","0.20.2","1","1","4","30","4","3","23","1","81","RDT1","Staff","sym","11","81","8","8","0","70","3","0","0","0","0","0","0","0","6"
"119","0.20.2","1","1","4","30","4","3","23","1","81","RDT1","Staff","adm_sym","12","117","9","9","0","105","3","0","0","0","0","0","0","0","6"
"120","0.20.2","1","1","4","30","4","3","23","1","81","RDT1","Staff","d01","0","0","0","0","0","0","0","3","236","3","3","0","233","0","6"
"121","0.20.2","1","1","4","30","4","3","23","1","81","RDT1","Staff","d02","0","0","0","0","0","0","0","3","237","1","1","0","234","2","0"
"122","0.20.2","1","1","4","30","4","3","23","1","81","RDT1","Staff","d03","0","0","0","0","0","0","0","3","238","0","0","0","235","3","0"
"123","0.20.2","1","1","4","30","4","3","23","1","81","RDT1","Staff","d04","0","0","0","0","0","0","0","4","239","1","1","0","235","3","3"
"124","0.20.2","1","1","4","30","4","3","23","1","81","RDT1","Staff","d05","0","0","0","0","0","0","0","5","239","2","2","0","234","3","0"
"125","0.20.2","1","1","4","30","4","3","23","1","81","RDT1","Staff","d06","0","0","0","0","0","0","0","6","239","2","2","0","233","4","2"
