"","immunity","IPC","Network","simulationCTC","incSarscov2","incIndex","incCommCases","incNosocomial","testingRound","incSymptoms","typeDailyScreening","targetDailyScreening","stratSurveillance","PCR.n_positive_and_tested","PCR.n_test","PCR.n_test_positive","PCR.n_test_true_positive","PCR.n_test_false_positive","PCR.n_test_true_negative","PCR.n_test_false_negative","RDT.n_positive_and_tested","RDT.n_test","RDT.n_test_positive","RDT.n_test_true_positive","RDT.n_test_false_positive","RDT.n_test_true_negative","RDT.n_test_false_negative","infAverted"
"1","0.20.2","1","2","4","26","4","2","20","1","74","PCR","Patients","adm","0","36","0","0","0","36","0","0","0","0","0","0","0","0","0"
"2","0.20.2","1","2","4","26","4","2","20","1","74","PCR","Patients","sym","10","74","8","8","0","64","2","0","0","0","0","0","0","0","10"
"3","0.20.2","1","2","4","26","4","2","20","1","74","PCR","Patients","adm_sym","10","110","8","8","0","100","2","0","0","0","0","0","0","0","10"
"4","0.20.2","1","2","4","26","4","2","20","1","74","PCR","Patients","d01","1","151","0","0","0","150","1","0","0","0","0","0","0","0","0"
"5","0.20.2","1","2","4","26","4","2","20","1","74","PCR","Patients","d02","1","152","0","0","0","151","1","0","0","0","0","0","0","0","0"
"6","0.20.2","1","2","4","26","4","2","20","1","74","PCR","Patients","d03","1","153","0","0","0","152","1","0","0","0","0","0","0","0","0"
"7","0.20.2","1","2","4","26","4","2","20","1","74","PCR","Patients","d04","1","156","0","0","0","155","1","0","0","0","0","0","0","0","0"
"8","0.20.2","1","2","4","26","4","2","20","1","74","PCR","Patients","d05","2","158","1","1","0","156","1","0","0","0","0","0","0","0","3"
"9","0.20.2","1","2","4","26","4","2","20","1","74","PCR","Patients","d06","2","154","1","1","0","152","1","0","0","0","0","0","0","0","3"
"10","0.20.2","1","2","4","26","4","2","20","1","74","PCR","Patients","d07","2","153","1","1","0","151","1","0","0","0","0","0","0","0","3"
"11","0.20.2","1","2","4","26","4","2","20","1","74","PCR","Patients","d08","3","159","1","1","0","156","2","0","0","0","0","0","0","0","0"
"12","0.20.2","1","2","4","26","4","2","20","1","74","PCR","Patients","d09","5","159","2","2","0","154","3","0","0","0","0","0","0","0","0"
"13","0.20.2","1","2","4","26","4","2","20","1","74","PCR","Patients","adm_sym_d01","11","261","8","8","0","250","3","0","0","0","0","0","0","0","10"
