"","immunity","IPC","Network","simulationCTC","incSarscov2","incIndex","incCommCases","incNosocomial","testingRound","incSymptoms","typeDailyScreening","targetDailyScreening","stratSurveillance","PCR.n_positive_and_tested","PCR.n_test","PCR.n_test_positive","PCR.n_test_true_positive","PCR.n_test_false_positive","PCR.n_test_true_negative","PCR.n_test_false_negative","RDT.n_positive_and_tested","RDT.n_test","RDT.n_test_positive","RDT.n_test_true_positive","RDT.n_test_false_positive","RDT.n_test_true_negative","RDT.n_test_false_negative","infAverted"
"1","0.20.2","1","2","1","16","4","2","10","1","68","PCR","Patients","adm","0","36","0","0","0","36","0","0","0","0","0","0","0","0","0"
"2","0.20.2","1","2","1","16","4","2","10","1","68","PCR","Patients","sym","7","68","6","6","0","61","1","0","0","0","0","0","0","0","10"
"3","0.20.2","1","2","1","16","4","2","10","1","68","PCR","Patients","adm_sym","7","104","6","6","0","97","1","0","0","0","0","0","0","0","10"
"4","0.20.2","1","2","1","16","4","2","10","1","68","PCR","Patients","d01","1","151","1","1","0","150","0","0","0","0","0","0","0","0","10"
"5","0.20.2","1","2","1","16","4","2","10","1","68","PCR","Patients","d02","1","152","1","1","0","151","0","0","0","0","0","0","0","0","4"
"6","0.20.2","1","2","1","16","4","2","10","1","68","PCR","Patients","d03","1","153","1","1","0","152","0","0","0","0","0","0","0","0","4"
"7","0.20.2","1","2","1","16","4","2","10","1","68","PCR","Patients","d04","1","156","1","1","0","155","0","0","0","0","0","0","0","0","4"
"8","0.20.2","1","2","1","16","4","2","10","1","68","PCR","Patients","d05","1","158","0","0","0","157","1","0","0","0","0","0","0","0","0"
"9","0.20.2","1","2","1","16","4","2","10","1","68","PCR","Patients","d06","2","154","2","2","0","152","0","0","0","0","0","0","0","0","4"
"10","0.20.2","1","2","1","16","4","2","10","1","68","PCR","Patients","d07","3","153","1","1","0","150","2","0","0","0","0","0","0","0","0"
"11","0.20.2","1","2","1","16","4","2","10","1","68","PCR","Patients","d08","3","159","3","3","0","156","0","0","0","0","0","0","0","0","7"
"12","0.20.2","1","2","1","16","4","2","10","1","68","PCR","Patients","d09","3","159","2","2","0","156","1","0","0","0","0","0","0","0","4"
"13","0.20.2","1","2","1","16","4","2","10","1","68","PCR","Patients","adm_sym_d01","8","255","7","7","0","247","1","0","0","0","0","0","0","0","10"
"14","0.20.2","1","2","1","16","4","2","10","1","68","PCR","Patients","adm_sym_d02","8","256","7","7","0","248","1","0","0","0","0","0","0","0","10"
"15","0.20.2","1","2","1","16","4","2","10","1","68","PCR","Patients","adm_sym_d03","8","257","7","7","0","249","1","0","0","0","0","0","0","0","10"
"16","0.20.2","1","2","1","16","4","2","10","1","68","PCR","Patients","adm_sym_d04","8","260","7","7","0","252","1","0","0","0","0","0","0","0","10"
"17","0.20.2","1","2","1","16","4","2","10","1","68","PCR","Patients","adm_sym_d05","8","262","6","6","0","254","2","0","0","0","0","0","0","0","10"
"18","0.20.2","1","2","1","16","4","2","10","1","68","PCR","Patients","adm_sym_d06","9","258","8","8","0","249","1","0","0","0","0","0","0","0","10"
