"","immunity","IPC","Network","simulationCTC","incSarscov2","incIndex","incCommCases","incNosocomial","testingRound","incSymptoms","typeDailyScreening","targetDailyScreening","stratSurveillance","PCR.n_positive_and_tested","PCR.n_test","PCR.n_test_positive","PCR.n_test_true_positive","PCR.n_test_false_positive","PCR.n_test_true_negative","PCR.n_test_false_negative","RDT.n_positive_and_tested","RDT.n_test","RDT.n_test_positive","RDT.n_test_true_positive","RDT.n_test_false_positive","RDT.n_test_true_negative","RDT.n_test_false_negative","infAverted"
"1","0.50.5","2","2","4","7","4","1","2","1","66","PCR","Patients","adm","0","36","0","0","0","36","0","0","0","0","0","0","0","0","0"
"2","0.50.5","2","2","4","7","4","1","2","1","66","PCR","Patients","sym","4","66","4","4","0","62","0","0","0","0","0","0","0","0","1"
"3","0.50.5","2","2","4","7","4","1","2","1","66","PCR","Patients","adm_sym","4","102","4","4","0","98","0","0","0","0","0","0","0","0","1"
"4","0.50.5","2","2","4","7","4","1","2","1","66","PCR","Patients","d01","1","151","1","1","0","150","0","0","0","0","0","0","0","0","1"
"5","0.50.5","2","2","4","7","4","1","2","1","66","PCR","Patients","d02","1","152","1","1","0","151","0","0","0","0","0","0","0","0","1"
"6","0.50.5","2","2","4","7","4","1","2","1","66","PCR","Patients","d03","1","153","1","1","0","152","0","0","0","0","0","0","0","0","1"
"7","0.50.5","2","2","4","7","4","1","2","1","66","PCR","Patients","d04","1","156","1","1","0","155","0","0","0","0","0","0","0","0","1"
"8","0.50.5","2","2","4","7","4","1","2","1","66","PCR","Patients","d05","1","158","1","1","0","157","0","0","0","0","0","0","0","0","1"
"9","0.50.5","2","2","4","7","4","1","2","1","66","PCR","Patients","d06","1","154","1","1","0","153","0","0","0","0","0","0","0","0","0"
"10","0.50.5","2","2","4","7","4","1","2","1","66","PCR","Patients","d07","2","153","2","2","0","151","0","0","0","0","0","0","0","0","0"
