"","immunity","IPC","Network","simulationCTC","incSarscov2","incIndex","incCommCases","incNosocomial","testingRound","incSymptoms","typeDailyScreening","targetDailyScreening","stratSurveillance","PCR.n_positive_and_tested","PCR.n_test","PCR.n_test_positive","PCR.n_test_true_positive","PCR.n_test_false_positive","PCR.n_test_true_negative","PCR.n_test_false_negative","RDT.n_positive_and_tested","RDT.n_test","RDT.n_test_positive","RDT.n_test_true_positive","RDT.n_test_false_positive","RDT.n_test_true_negative","RDT.n_test_false_negative","infAverted"
"1","0.50.5","2","2","2","8","4","1","3","1","86","PCR","Patients","adm","0","36","0","0","0","36","0","0","0","0","0","0","0","0","0"
"2","0.50.5","2","2","2","8","4","1","3","1","86","PCR","Patients","sym","5","86","5","5","0","81","0","0","0","0","0","0","0","0","2"
"3","0.50.5","2","2","2","8","4","1","3","1","86","PCR","Patients","adm_sym","5","122","5","5","0","117","0","0","0","0","0","0","0","0","2"
"4","0.50.5","2","2","2","8","4","1","3","1","86","PCR","Patients","d01","1","151","1","1","0","150","0","0","0","0","0","0","0","0","2"
"5","0.50.5","2","2","2","8","4","1","3","1","86","PCR","Patients","d02","1","152","1","1","0","151","0","0","0","0","0","0","0","0","2"
"6","0.50.5","2","2","2","8","4","1","3","1","86","PCR","Patients","d03","1","153","1","1","0","152","0","0","0","0","0","0","0","0","2"
"7","0.50.5","2","2","2","8","4","1","3","1","86","PCR","Patients","d04","1","156","1","1","0","155","0","0","0","0","0","0","0","0","2"
"8","0.50.5","2","2","2","8","4","1","3","1","86","PCR","Patients","d05","1","158","1","1","0","157","0","0","0","0","0","0","0","0","2"
"9","0.50.5","2","2","2","8","4","1","3","1","86","PCR","Patients","d06","1","154","1","1","0","153","0","0","0","0","0","0","0","0","2"
"10","0.50.5","2","2","2","8","4","1","3","1","86","PCR","Patients","d07","1","153","1","1","0","152","0","0","0","0","0","0","0","0","1"
"11","0.50.5","2","2","2","8","4","1","3","1","86","PCR","Patients","d08","2","159","2","2","0","157","0","0","0","0","0","0","0","0","1"
"12","0.50.5","2","2","2","8","4","1","3","1","86","PCR","Patients","d09","2","159","2","2","0","157","0","0","0","0","0","0","0","0","1"
"13","0.50.5","2","2","2","8","4","1","3","1","86","PCR","Patients","adm_sym_d01","6","273","6","6","0","267","0","0","0","0","0","0","0","0","3"
"14","0.50.5","2","2","2","8","4","1","3","1","86","PCR","Patients","adm_sym_d02","6","274","6","6","0","268","0","0","0","0","0","0","0","0","3"
"15","0.50.5","2","2","2","8","4","1","3","1","86","PCR","Patients","adm_sym_d03","6","275","6","6","0","269","0","0","0","0","0","0","0","0","3"
"16","0.50.5","2","2","2","8","4","1","3","1","86","PCR","Patients","adm_sym_d04","6","278","6","6","0","272","0","0","0","0","0","0","0","0","3"
"17","0.50.5","2","2","2","8","4","1","3","1","86","PCR","Patients","adm_sym_d05","6","280","6","6","0","274","0","0","0","0","0","0","0","0","3"
"18","0.50.5","2","2","2","8","4","1","3","1","86","PCR","Patients","adm_sym_d06","6","276","6","6","0","270","0","0","0","0","0","0","0","0","3"
"19","0.50.5","2","2","2","8","4","1","3","1","86","PCR","Patients","adm_sym_d07","6","275","6","6","0","269","0","0","0","0","0","0","0","0","2"
