"","immunity","IPC","Network","simulationCTC","incSarscov2","incIndex","incCommCases","incNosocomial","testingRound","incSymptoms","typeDailyScreening","targetDailyScreening","stratSurveillance","PCR.n_positive_and_tested","PCR.n_test","PCR.n_test_positive","PCR.n_test_true_positive","PCR.n_test_false_positive","PCR.n_test_true_negative","PCR.n_test_false_negative","RDT.n_positive_and_tested","RDT.n_test","RDT.n_test_positive","RDT.n_test_true_positive","RDT.n_test_false_positive","RDT.n_test_true_negative","RDT.n_test_false_negative","infAverted"
"1","0.20.2","1","2","2","26","4","2","20","1","66","PCR","Patients","adm","1","36","1","1","0","35","0","0","0","0","0","0","0","0","0"
"2","0.20.2","1","2","2","26","4","2","20","1","66","PCR","Patients","sym","11","66","8","8","0","55","3","0","0","0","0","0","0","0","11"
"3","0.20.2","1","2","2","26","4","2","20","1","66","PCR","Patients","adm_sym","12","102","9","9","0","90","3","0","0","0","0","0","0","0","11"
"4","0.20.2","1","2","2","26","4","2","20","1","66","PCR","Patients","d01","1","151","1","1","0","150","0","0","0","0","0","0","0","0","0"
"5","0.20.2","1","2","2","26","4","2","20","1","66","PCR","Patients","d02","1","152","1","1","0","151","0","0","0","0","0","0","0","0","0"
"6","0.20.2","1","2","2","26","4","2","20","1","66","PCR","Patients","d03","1","153","1","1","0","152","0","0","0","0","0","0","0","0","0"
"7","0.20.2","1","2","2","26","4","2","20","1","66","PCR","Patients","d04","2","156","1","1","0","154","1","0","0","0","0","0","0","0","0"
"8","0.20.2","1","2","2","26","4","2","20","1","66","PCR","Patients","d05","2","158","1","1","0","156","1","0","0","0","0","0","0","0","0"
"9","0.20.2","1","2","2","26","4","2","20","1","66","PCR","Patients","d06","5","154","4","4","0","149","1","0","0","0","0","0","0","0","13"
"10","0.20.2","1","2","2","26","4","2","20","1","66","PCR","Patients","d07","5","153","1","1","0","148","4","0","0","0","0","0","0","0","2"
"11","0.20.2","1","2","2","26","4","2","20","1","66","PCR","Patients","d08","5","159","4","4","0","154","1","0","0","0","0","0","0","0","12"
"12","0.20.2","1","2","2","26","4","2","20","1","66","PCR","Patients","d09","6","159","1","1","0","153","5","0","0","0","0","0","0","0","0"
"13","0.20.2","1","2","2","26","4","2","20","1","66","PCR","Patients","adm_sym_d01","13","253","10","10","0","240","3","0","0","0","0","0","0","0","11"
"14","0.20.2","1","2","2","26","4","2","20","1","66","PCR","Patients","adm_sym_d02","13","254","10","10","0","241","3","0","0","0","0","0","0","0","11"
"15","0.20.2","1","2","2","26","4","2","20","1","66","PCR","Patients","adm_sym_d03","13","255","10","10","0","242","3","0","0","0","0","0","0","0","11"
"16","0.20.2","1","2","2","26","4","2","20","1","66","PCR","Patients","adm_sym_d04","14","258","10","10","0","244","4","0","0","0","0","0","0","0","11"
"17","0.20.2","1","2","2","26","4","2","20","1","66","PCR","Patients","adm_sym_d05","14","260","10","10","0","246","4","0","0","0","0","0","0","0","11"
"18","0.20.2","1","2","2","26","4","2","20","1","66","PCR","Patients","adm_sym_d06","17","256","13","13","0","239","4","0","0","0","0","0","0","0","14"
"19","0.20.2","1","2","2","26","4","2","20","1","66","PCR","Patients","adm_sym_d07","17","255","10","10","0","238","7","0","0","0","0","0","0","0","13"
"20","0.20.2","1","2","2","26","4","2","20","1","66","PCR","Patients","adm_sym_d08","17","261","13","13","0","244","4","0","0","0","0","0","0","0","13"
"21","0.20.2","1","2","2","26","4","2","20","1","66","PCR","Patients","adm_sym_d09","18","261","10","10","0","243","8","0","0","0","0","0","0","0","11"
"22","0.20.2","1","2","2","26","4","2","20","1","66","PCR","Patients","adm_sym_d01_d02","14","405","11","11","0","391","3","0","0","0","0","0","0","0","11"
"23","0.20.2","1","2","2","26","4","2","20","1","66","PCR","Patients","adm_sym_d01_d03","14","406","11","11","0","392","3","0","0","0","0","0","0","0","11"
"24","0.20.2","1","2","2","26","4","2","20","1","66","PCR","Patients","adm_sym_d01_d04","15","409","11","11","0","394","4","0","0","0","0","0","0","0","11"
"25","0.20.2","1","2","2","26","4","2","20","1","66","PCR","Patients","adm_sym_d01_d05","15","411","11","11","0","396","4","0","0","0","0","0","0","0","11"
"26","0.20.2","1","2","2","26","4","2","20","1","66","PCR","Patients","adm_sym_d01_d06","18","407","14","14","0","389","4","0","0","0","0","0","0","0","14"
"27","0.20.2","1","2","2","26","4","2","20","1","66","PCR","Patients","adm_sym_d01_d07","18","406","11","11","0","388","7","0","0","0","0","0","0","0","13"
"28","0.20.2","1","2","2","26","4","2","20","1","66","PCR","Patients","adm_sym_d01_d08","18","412","14","14","0","394","4","0","0","0","0","0","0","0","13"
"29","0.20.2","1","2","2","26","4","2","20","1","66","PCR","Patients","adm_sym_d01_d09","19","412","11","11","0","393","8","0","0","0","0","0","0","0","11"
"30","0.20.2","1","2","2","26","4","2","20","1","66","PCR","Staff","adm","1","36","1","1","0","35","0","0","0","0","0","0","0","0","0"
"31","0.20.2","1","2","2","26","4","2","20","1","66","PCR","Staff","sym","11","66","8","8","0","55","3","0","0","0","0","0","0","0","11"
"32","0.20.2","1","2","2","26","4","2","20","1","66","PCR","Staff","adm_sym","12","102","9","9","0","90","3","0","0","0","0","0","0","0","11"
"33","0.20.2","1","2","2","26","4","2","20","1","66","PCR","Staff","d01","3","236","3","3","0","233","0","0","0","0","0","0","0","0","18"
"34","0.20.2","1","2","2","26","4","2","20","1","66","PCR","Staff","d02","4","237","3","3","0","233","1","0","0","0","0","0","0","0","8"
"35","0.20.2","1","2","2","26","4","2","20","1","66","PCR","Staff","d03","4","238","4","4","0","234","0","0","0","0","0","0","0","0","15"
"36","0.20.2","1","2","2","26","4","2","20","1","66","PCR","Staff","d04","4","239","3","3","0","235","1","0","0","0","0","0","0","0","15"
"37","0.20.2","1","2","2","26","4","2","20","1","66","PCR","Staff","d05","4","239","2","2","0","235","2","0","0","0","0","0","0","0","0"
"38","0.20.2","1","2","2","26","4","2","20","1","66","PCR","Staff","d06","5","239","4","4","0","234","1","0","0","0","0","0","0","0","0"
"39","0.20.2","1","2","2","26","4","2","20","1","66","PCR","Staff","d07","5","239","4","4","0","234","1","0","0","0","0","0","0","0","0"
"40","0.20.2","1","2","2","26","4","2","20","1","66","PCR","Staff","d08","6","239","6","6","0","233","0","0","0","0","0","0","0","0","0"
"41","0.20.2","1","2","2","26","4","2","20","1","66","PCR","Staff","d09","6","239","3","3","0","233","3","0","0","0","0","0","0","0","0"
"42","0.20.2","1","2","2","26","4","2","20","1","66","PCR","Staff","adm_sym_d01","15","338","12","12","0","323","3","0","0","0","0","0","0","0","18"
"43","0.20.2","1","2","2","26","4","2","20","1","66","PCR","Staff","adm_sym_d02","16","339","12","12","0","323","4","0","0","0","0","0","0","0","19"
"44","0.20.2","1","2","2","26","4","2","20","1","66","PCR","Staff","adm_sym_d03","16","340","13","13","0","324","3","0","0","0","0","0","0","0","15"
