"","immunity","IPC","Network","simulationCTC","incSarscov2","incIndex","incCommCases","incNosocomial","testingRound","incSymptoms","typeDailyScreening","targetDailyScreening","stratSurveillance","PCR.n_positive_and_tested","PCR.n_test","PCR.n_test_positive","PCR.n_test_true_positive","PCR.n_test_false_positive","PCR.n_test_true_negative","PCR.n_test_false_negative","RDT.n_positive_and_tested","RDT.n_test","RDT.n_test_positive","RDT.n_test_true_positive","RDT.n_test_false_positive","RDT.n_test_true_negative","RDT.n_test_false_negative","infAverted"
"1","0.20.2","1","2","1","16","4","2","10","1","68","PCR","Patients","adm","0","36","0","0","0","36","0","0","0","0","0","0","0","0","0"
"2","0.20.2","1","2","1","16","4","2","10","1","68","PCR","Patients","sym","9","68","8","8","0","59","1","0","0","0","0","0","0","0","10"
"3","0.20.2","1","2","1","16","4","2","10","1","68","PCR","Patients","adm_sym","9","104","8","8","0","95","1","0","0","0","0","0","0","0","10"
"4","0.20.2","1","2","1","16","4","2","10","1","68","PCR","Patients","d01","1","151","1","1","0","150","0","0","0","0","0","0","0","0","10"
"5","0.20.2","1","2","1","16","4","2","10","1","68","PCR","Patients","d02","1","152","0","0","0","151","1","0","0","0","0","0","0","0","0"
"6","0.20.2","1","2","1","16","4","2","10","1","68","PCR","Patients","d03","1","153","1","1","0","152","0","0","0","0","0","0","0","0","4"
"7","0.20.2","1","2","1","16","4","2","10","1","68","PCR","Patients","d04","1","156","1","1","0","155","0","0","0","0","0","0","0","0","4"
"8","0.20.2","1","2","1","16","4","2","10","1","68","PCR","Patients","d05","1","158","1","1","0","157","0","0","0","0","0","0","0","0","4"
"9","0.20.2","1","2","1","16","4","2","10","1","68","PCR","Patients","d06","2","154","1","1","0","152","1","0","0","0","0","0","0","0","0"
"10","0.20.2","1","2","1","16","4","2","10","1","68","PCR","Patients","d07","3","153","0","0","0","150","3","0","0","0","0","0","0","0","0"
"11","0.20.2","1","2","1","16","4","2","10","1","68","PCR","Patients","d08","3","159","1","1","0","156","2","0","0","0","0","0","0","0","0"
