"","immunity","IPC","Network","simulationCTC","incSarscov2","incIndex","incCommCases","incNosocomial","testingRound","incSymptoms","typeDailyScreening","targetDailyScreening","stratSurveillance","PCR.n_positive_and_tested","PCR.n_test","PCR.n_test_positive","PCR.n_test_true_positive","PCR.n_test_false_positive","PCR.n_test_true_negative","PCR.n_test_false_negative","RDT.n_positive_and_tested","RDT.n_test","RDT.n_test_positive","RDT.n_test_true_positive","RDT.n_test_false_positive","RDT.n_test_true_negative","RDT.n_test_false_negative","infAverted"
"1","0.20.2","1","1","3","79","4","1","74","1","93","PCR","Patients","adm","0","36","0","0","0","36","0","0","0","0","0","0","0","0","0"
"2","0.20.2","1","1","3","79","4","1","74","1","93","PCR","Patients","sym","28","93","15","15","0","65","13","0","0","0","0","0","0","0","15"
"3","0.20.2","1","1","3","79","4","1","74","1","93","PCR","Patients","adm_sym","28","129","15","15","0","101","13","0","0","0","0","0","0","0","15"
"4","0.20.2","1","1","3","79","4","1","74","1","93","PCR","Patients","d01","1","151","1","1","0","150","0","0","0","0","0","0","0","0","5"
"5","0.20.2","1","1","3","79","4","1","74","1","93","PCR","Patients","d02","3","152","1","1","0","149","2","0","0","0","0","0","0","0","5"
"6","0.20.2","1","1","3","79","4","1","74","1","93","PCR","Patients","d03","3","153","0","0","0","150","3","0","0","0","0","0","0","0","0"
"7","0.20.2","1","1","3","79","4","1","74","1","93","PCR","Patients","d04","3","156","0","0","0","153","3","0","0","0","0","0","0","0","0"
"8","0.20.2","1","1","3","79","4","1","74","1","93","PCR","Patients","d05","7","158","1","1","0","151","6","0","0","0","0","0","0","0","3"
"9","0.20.2","1","1","3","79","4","1","74","1","93","PCR","Patients","d06","9","154","1","1","0","145","8","0","0","0","0","0","0","0","0"
"10","0.20.2","1","1","3","79","4","1","74","1","93","PCR","Patients","d07","11","153","2","2","0","142","9","0","0","0","0","0","0","0","2"
"11","0.20.2","1","1","3","79","4","1","74","1","93","PCR","Patients","d08","11","159","5","5","0","148","6","0","0","0","0","0","0","0","3"
"12","0.20.2","1","1","3","79","4","1","74","1","93","PCR","Patients","d09","20","159","7","7","0","139","13","0","0","0","0","0","0","0","16"
