"","immunity","IPC","Network","simulationCTC","incSarscov2","incIndex","incCommCases","incNosocomial","testingRound","incSymptoms","typeDailyScreening","targetDailyScreening","stratSurveillance","PCR.n_positive_and_tested","PCR.n_test","PCR.n_test_positive","PCR.n_test_true_positive","PCR.n_test_false_positive","PCR.n_test_true_negative","PCR.n_test_false_negative","RDT.n_positive_and_tested","RDT.n_test","RDT.n_test_positive","RDT.n_test_true_positive","RDT.n_test_false_positive","RDT.n_test_true_negative","RDT.n_test_false_negative","infAverted"
"1","0.50.5","2","2","4","7","4","1","2","1","67","PCR","Patients","adm","0","36","0","0","0","36","0","0","0","0","0","0","0","0","0"
"2","0.50.5","2","2","4","7","4","1","2","1","67","PCR","Patients","sym","6","67","6","6","0","61","0","0","0","0","0","0","0","0","1"
"3","0.50.5","2","2","4","7","4","1","2","1","67","PCR","Patients","adm_sym","6","103","6","6","0","97","0","0","0","0","0","0","0","0","1"
"4","0.50.5","2","2","4","7","4","1","2","1","67","PCR","Patients","d01","1","151","0","0","0","150","1","0","0","0","0","0","0","0","0"
"5","0.50.5","2","2","4","7","4","1","2","1","67","PCR","Patients","d02","1","152","0","0","0","151","1","0","0","0","0","0","0","0","0"
"6","0.50.5","2","2","4","7","4","1","2","1","67","PCR","Patients","d03","1","153","0","0","0","152","1","0","0","0","0","0","0","0","0"
"7","0.50.5","2","2","4","7","4","1","2","1","67","PCR","Patients","d04","1","156","1","1","0","155","0","0","0","0","0","0","0","0","1"
"8","0.50.5","2","2","4","7","4","1","2","1","67","PCR","Patients","d05","1","158","1","1","0","157","0","0","0","0","0","0","0","0","1"
"9","0.50.5","2","2","4","7","4","1","2","1","67","PCR","Patients","d06","1","154","1","1","0","153","0","0","0","0","0","0","0","0","0"
"10","0.50.5","2","2","4","7","4","1","2","1","67","PCR","Patients","d07","2","153","1","1","0","151","1","0","0","0","0","0","0","0","0"
"11","0.50.5","2","2","4","7","4","1","2","1","67","PCR","Patients","d08","2","159","2","2","0","157","0","0","0","0","0","0","0","0","0"
"12","0.50.5","2","2","4","7","4","1","2","1","67","PCR","Patients","d09","2","159","2","2","0","157","0","0","0","0","0","0","0","0","0"
"13","0.50.5","2","2","4","7","4","1","2","1","67","PCR","Patients","adm_sym_d01","7","254","6","6","0","247","1","0","0","0","0","0","0","0","1"
"14","0.50.5","2","2","4","7","4","1","2","1","67","PCR","Patients","adm_sym_d02","7","255","6","6","0","248","1","0","0","0","0","0","0","0","1"
"15","0.50.5","2","2","4","7","4","1","2","1","67","PCR","Patients","adm_sym_d03","7","256","6","6","0","249","1","0","0","0","0","0","0","0","1"
"16","0.50.5","2","2","4","7","4","1","2","1","67","PCR","Patients","adm_sym_d04","7","259","7","7","0","252","0","0","0","0","0","0","0","0","2"
"17","0.50.5","2","2","4","7","4","1","2","1","67","PCR","Patients","adm_sym_d05","7","261","7","7","0","254","0","0","0","0","0","0","0","0","2"
"18","0.50.5","2","2","4","7","4","1","2","1","67","PCR","Patients","adm_sym_d06","7","257","7","7","0","250","0","0","0","0","0","0","0","0","1"
"19","0.50.5","2","2","4","7","4","1","2","1","67","PCR","Patients","adm_sym_d07","8","256","7","7","0","248","1","0","0","0","0","0","0","0","1"
"20","0.50.5","2","2","4","7","4","1","2","1","67","PCR","Patients","adm_sym_d08","8","262","8","8","0","254","0","0","0","0","0","0","0","0","1"
