"","immunity","IPC","Network","simulationCTC","incSarscov2","incIndex","incCommCases","incNosocomial","testingRound","incSymptoms","typeDailyScreening","targetDailyScreening","stratSurveillance","PCR.n_positive_and_tested","PCR.n_test","PCR.n_test_positive","PCR.n_test_true_positive","PCR.n_test_false_positive","PCR.n_test_true_negative","PCR.n_test_false_negative","RDT.n_positive_and_tested","RDT.n_test","RDT.n_test_positive","RDT.n_test_true_positive","RDT.n_test_false_positive","RDT.n_test_true_negative","RDT.n_test_false_negative","infAverted"
"1","0.20.2","1","1","3","79","4","1","74","1","72","PCR","Patients","adm","0","36","0","0","0","36","0","0","0","0","0","0","0","0","0"
"2","0.20.2","1","1","3","79","4","1","74","1","72","PCR","Patients","sym","23","72","20","20","0","49","3","0","0","0","0","0","0","0","19"
"3","0.20.2","1","1","3","79","4","1","74","1","72","PCR","Patients","adm_sym","23","108","20","20","0","85","3","0","0","0","0","0","0","0","19"
"4","0.20.2","1","1","3","79","4","1","74","1","72","PCR","Patients","d01","1","151","1","1","0","150","0","0","0","0","0","0","0","0","5"
"5","0.20.2","1","1","3","79","4","1","74","1","72","PCR","Patients","d02","3","152","1","1","0","149","2","0","0","0","0","0","0","0","5"
"6","0.20.2","1","1","3","79","4","1","74","1","72","PCR","Patients","d03","3","153","1","1","0","150","2","0","0","0","0","0","0","0","5"
"7","0.20.2","1","1","3","79","4","1","74","1","72","PCR","Patients","d04","3","156","2","2","0","153","1","0","0","0","0","0","0","0","31"
"8","0.20.2","1","1","3","79","4","1","74","1","72","PCR","Patients","d05","7","158","6","6","0","151","1","0","0","0","0","0","0","0","11"
"9","0.20.2","1","1","3","79","4","1","74","1","72","PCR","Patients","d06","9","154","7","7","0","145","2","0","0","0","0","0","0","0","34"
"10","0.20.2","1","1","3","79","4","1","74","1","72","PCR","Patients","d07","11","153","10","10","0","142","1","0","0","0","0","0","0","0","58"
"11","0.20.2","1","1","3","79","4","1","74","1","72","PCR","Patients","d08","11","159","9","9","0","148","2","0","0","0","0","0","0","0","18"
"12","0.20.2","1","1","3","79","4","1","74","1","72","PCR","Patients","d09","20","159","17","17","0","139","3","0","0","0","0","0","0","0","40"
"13","0.20.2","1","1","3","79","4","1","74","1","72","PCR","Patients","adm_sym_d01","24","259","21","21","0","235","3","0","0","0","0","0","0","0","19"
"14","0.20.2","1","1","3","79","4","1","74","1","72","PCR","Patients","adm_sym_d02","26","260","21","21","0","234","5","0","0","0","0","0","0","0","19"
"15","0.20.2","1","1","3","79","4","1","74","1","72","PCR","Patients","adm_sym_d03","26","261","21","21","0","235","5","0","0","0","0","0","0","0","19"
"16","0.20.2","1","1","3","79","4","1","74","1","72","PCR","Patients","adm_sym_d04","26","264","22","22","0","238","4","0","0","0","0","0","0","0","41"
"17","0.20.2","1","1","3","79","4","1","74","1","72","PCR","Patients","adm_sym_d05","30","266","26","26","0","236","4","0","0","0","0","0","0","0","30"
"18","0.20.2","1","1","3","79","4","1","74","1","72","PCR","Patients","adm_sym_d06","32","262","27","27","0","230","5","0","0","0","0","0","0","0","43"
"19","0.20.2","1","1","3","79","4","1","74","1","72","PCR","Patients","adm_sym_d07","34","261","30","30","0","227","4","0","0","0","0","0","0","0","65"
"20","0.20.2","1","1","3","79","4","1","74","1","72","PCR","Patients","adm_sym_d08","34","267","29","29","0","233","5","0","0","0","0","0","0","0","34"
"21","0.20.2","1","1","3","79","4","1","74","1","72","PCR","Patients","adm_sym_d09","43","267","37","37","0","224","6","0","0","0","0","0","0","0","48"
"22","0.20.2","1","1","3","79","4","1","74","1","72","PCR","Patients","adm_sym_d01_d02","27","411","22","22","0","384","5","0","0","0","0","0","0","0","19"
"23","0.20.2","1","1","3","79","4","1","74","1","72","PCR","Patients","adm_sym_d01_d03","27","412","22","22","0","385","5","0","0","0","0","0","0","0","19"
"24","0.20.2","1","1","3","79","4","1","74","1","72","PCR","Patients","adm_sym_d01_d04","27","415","23","23","0","388","4","0","0","0","0","0","0","0","41"
"25","0.20.2","1","1","3","79","4","1","74","1","72","PCR","Patients","adm_sym_d01_d05","31","417","27","27","0","386","4","0","0","0","0","0","0","0","30"
"26","0.20.2","1","1","3","79","4","1","74","1","72","PCR","Patients","adm_sym_d01_d06","33","413","28","28","0","380","5","0","0","0","0","0","0","0","43"
"27","0.20.2","1","1","3","79","4","1","74","1","72","PCR","Patients","adm_sym_d01_d07","35","412","31","31","0","377","4","0","0","0","0","0","0","0","65"
"28","0.20.2","1","1","3","79","4","1","74","1","72","PCR","Patients","adm_sym_d01_d08","35","418","30","30","0","383","5","0","0","0","0","0","0","0","34"
"29","0.20.2","1","1","3","79","4","1","74","1","72","PCR","Patients","adm_sym_d01_d09","44","418","38","38","0","374","6","0","0","0","0","0","0","0","48"
"30","0.20.2","1","1","3","79","4","1","74","1","72","PCR","Staff","adm","0","36","0","0","0","36","0","0","0","0","0","0","0","0","0"
"31","0.20.2","1","1","3","79","4","1","74","1","72","PCR","Staff","sym","23","72","20","20","0","49","3","0","0","0","0","0","0","0","19"
"32","0.20.2","1","1","3","79","4","1","74","1","72","PCR","Staff","adm_sym","23","108","20","20","0","85","3","0","0","0","0","0","0","0","19"
"33","0.20.2","1","1","3","79","4","1","74","1","72","PCR","Staff","d01","3","236","0","0","0","233","3","0","0","0","0","0","0","0","0"
"34","0.20.2","1","1","3","79","4","1","74","1","72","PCR","Staff","d02","3","237","2","2","0","234","1","0","0","0","0","0","0","0","25"
"35","0.20.2","1","1","3","79","4","1","74","1","72","PCR","Staff","d03","2","238","2","2","0","236","0","0","0","0","0","0","0","0","35"
"36","0.20.2","1","1","3","79","4","1","74","1","72","PCR","Staff","d04","2","239","2","2","0","237","0","0","0","0","0","0","0","0","3"
"37","0.20.2","1","1","3","79","4","1","74","1","72","PCR","Staff","d05","2","239","0","0","0","237","2","0","0","0","0","0","0","0","0"
"38","0.20.2","1","1","3","79","4","1","74","1","72","PCR","Staff","d06","3","239","0","0","0","236","3","0","0","0","0","0","0","0","0"
"39","0.20.2","1","1","3","79","4","1","74","1","72","PCR","Staff","d07","4","239","3","3","0","235","1","0","0","0","0","0","0","0","4"
"40","0.20.2","1","1","3","79","4","1","74","1","72","PCR","Staff","d08","6","239","3","3","0","233","3","0","0","0","0","0","0","0","0"
"41","0.20.2","1","1","3","79","4","1","74","1","72","PCR","Staff","d09","7","239","4","4","0","232","3","0","0","0","0","0","0","0","2"
"42","0.20.2","1","1","3","79","4","1","74","1","72","PCR","Staff","adm_sym_d01","26","344","20","20","0","318","6","0","0","0","0","0","0","0","19"
"43","0.20.2","1","1","3","79","4","1","74","1","72","PCR","Staff","adm_sym_d02","26","345","22","22","0","319","4","0","0","0","0","0","0","0","40"
"44","0.20.2","1","1","3","79","4","1","74","1","72","PCR","Staff","adm_sym_d03","25","346","22","22","0","321","3","0","0","0","0","0","0","0","49"
"45","0.20.2","1","1","3","79","4","1","74","1","72","PCR","Staff","adm_sym_d04","25","347","22","22","0","322","3","0","0","0","0","0","0","0","19"
"46","0.20.2","1","1","3","79","4","1","74","1","72","PCR","Staff","adm_sym_d05","25","347","20","20","0","322","5","0","0","0","0","0","0","0","19"
"47","0.20.2","1","1","3","79","4","1","74","1","72","PCR","Staff","adm_sym_d06","26","347","20","20","0","321","6","0","0","0","0","0","0","0","19"
"48","0.20.2","1","1","3","79","4","1","74","1","72","PCR","Staff","adm_sym_d07","27","347","23","23","0","320","4","0","0","0","0","0","0","0","20"
"49","0.20.2","1","1","3","79","4","1","74","1","72","PCR","Staff","adm_sym_d08","29","347","23","23","0","318","6","0","0","0","0","0","0","0","19"
"50","0.20.2","1","1","3","79","4","1","74","1","72","PCR","Staff","adm_sym_d09","30","347","24","24","0","317","6","0","0","0","0","0","0","0","19"
"51","0.20.2","1","1","3","79","4","1","74","1","72","PCR","Staff","adm_sym_d01_d02","29","581","22","22","0","552","7","0","0","0","0","0","0","0","40"
