"","immunity","IPC","Network","simulationCTC","incSarscov2","incIndex","incCommCases","incNosocomial","testingRound","incSymptoms","typeDailyScreening","targetDailyScreening","stratSurveillance","PCR.n_positive_and_tested","PCR.n_test","PCR.n_test_positive","PCR.n_test_true_positive","PCR.n_test_false_positive","PCR.n_test_true_negative","PCR.n_test_false_negative","RDT.n_positive_and_tested","RDT.n_test","RDT.n_test_positive","RDT.n_test_true_positive","RDT.n_test_false_positive","RDT.n_test_true_negative","RDT.n_test_false_negative","infAverted"
"1","0.20.2","1","1","1","54","4","3","47","1","79","PCR","Patients","adm","0","36","0","0","0","36","0","0","0","0","0","0","0","0","0"
"2","0.20.2","1","1","1","54","4","3","47","1","79","PCR","Patients","sym","15","79","11","11","0","64","4","0","0","0","0","0","0","0","19"
"3","0.20.2","1","1","1","54","4","3","47","1","79","PCR","Patients","adm_sym","15","115","11","11","0","100","4","0","0","0","0","0","0","0","19"
"4","0.20.2","1","1","1","54","4","3","47","1","79","PCR","Patients","d01","1","151","0","0","0","150","1","0","0","0","0","0","0","0","0"
"5","0.20.2","1","1","1","54","4","3","47","1","79","PCR","Patients","d02","2","152","1","1","0","150","1","0","0","0","0","0","0","0","14"
"6","0.20.2","1","1","1","54","4","3","47","1","79","PCR","Patients","d03","3","153","2","2","0","150","1","0","0","0","0","0","0","0","4"
"7","0.20.2","1","1","1","54","4","3","47","1","79","PCR","Patients","d04","3","156","3","3","0","153","0","0","0","0","0","0","0","0","18"
"8","0.20.2","1","1","1","54","4","3","47","1","79","PCR","Patients","d05","3","158","2","2","0","155","1","0","0","0","0","0","0","0","5"
"9","0.20.2","1","1","1","54","4","3","47","1","79","PCR","Patients","d06","4","154","2","2","0","150","2","0","0","0","0","0","0","0","0"
"10","0.20.2","1","1","1","54","4","3","47","1","79","PCR","Patients","d07","5","153","3","3","0","148","2","0","0","0","0","0","0","0","11"
"11","0.20.2","1","1","1","54","4","3","47","1","79","PCR","Patients","d08","7","159","4","4","0","152","3","0","0","0","0","0","0","0","2"
"12","0.20.2","1","1","1","54","4","3","47","1","79","PCR","Patients","d09","9","159","5","5","0","150","4","0","0","0","0","0","0","0","25"
"13","0.20.2","1","1","1","54","4","3","47","1","79","PCR","Patients","adm_sym_d01","16","266","11","11","0","250","5","0","0","0","0","0","0","0","19"
"14","0.20.2","1","1","1","54","4","3","47","1","79","PCR","Patients","adm_sym_d02","17","267","12","12","0","250","5","0","0","0","0","0","0","0","19"
"15","0.20.2","1","1","1","54","4","3","47","1","79","PCR","Patients","adm_sym_d03","18","268","13","13","0","250","5","0","0","0","0","0","0","0","19"
"16","0.20.2","1","1","1","54","4","3","47","1","79","PCR","Patients","adm_sym_d04","18","271","14","14","0","253","4","0","0","0","0","0","0","0","19"
"17","0.20.2","1","1","1","54","4","3","47","1","79","PCR","Patients","adm_sym_d05","18","273","13","13","0","255","5","0","0","0","0","0","0","0","19"
"18","0.20.2","1","1","1","54","4","3","47","1","79","PCR","Patients","adm_sym_d06","19","269","13","13","0","250","6","0","0","0","0","0","0","0","19"
"19","0.20.2","1","1","1","54","4","3","47","1","79","PCR","Patients","adm_sym_d07","20","268","14","14","0","248","6","0","0","0","0","0","0","0","19"
"20","0.20.2","1","1","1","54","4","3","47","1","79","PCR","Patients","adm_sym_d08","22","274","15","15","0","252","7","0","0","0","0","0","0","0","19"
"21","0.20.2","1","1","1","54","4","3","47","1","79","PCR","Patients","adm_sym_d09","24","274","16","16","0","250","8","0","0","0","0","0","0","0","43"
"22","0.20.2","1","1","1","54","4","3","47","1","79","PCR","Patients","adm_sym_d01_d02","18","418","12","12","0","400","6","0","0","0","0","0","0","0","19"
"23","0.20.2","1","1","1","54","4","3","47","1","79","PCR","Patients","adm_sym_d01_d03","19","419","13","13","0","400","6","0","0","0","0","0","0","0","19"
"24","0.20.2","1","1","1","54","4","3","47","1","79","PCR","Patients","adm_sym_d01_d04","19","422","14","14","0","403","5","0","0","0","0","0","0","0","19"
"25","0.20.2","1","1","1","54","4","3","47","1","79","PCR","Patients","adm_sym_d01_d05","19","424","13","13","0","405","6","0","0","0","0","0","0","0","19"
"26","0.20.2","1","1","1","54","4","3","47","1","79","PCR","Patients","adm_sym_d01_d06","20","420","13","13","0","400","7","0","0","0","0","0","0","0","19"
"27","0.20.2","1","1","1","54","4","3","47","1","79","PCR","Patients","adm_sym_d01_d07","21","419","14","14","0","398","7","0","0","0","0","0","0","0","19"
"28","0.20.2","1","1","1","54","4","3","47","1","79","PCR","Patients","adm_sym_d01_d08","23","425","15","15","0","402","8","0","0","0","0","0","0","0","19"
"29","0.20.2","1","1","1","54","4","3","47","1","79","PCR","Patients","adm_sym_d01_d09","25","425","16","16","0","400","9","0","0","0","0","0","0","0","43"
