"","immunity","IPC","Network","simulationCTC","incSarscov2","incIndex","incCommCases","incNosocomial","testingRound","incSymptoms","typeDailyScreening","targetDailyScreening","stratSurveillance","PCR.n_positive_and_tested","PCR.n_test","PCR.n_test_positive","PCR.n_test_true_positive","PCR.n_test_false_positive","PCR.n_test_true_negative","PCR.n_test_false_negative","RDT.n_positive_and_tested","RDT.n_test","RDT.n_test_positive","RDT.n_test_true_positive","RDT.n_test_false_positive","RDT.n_test_true_negative","RDT.n_test_false_negative","infAverted"
"1","0.20.2","1","2","4","26","4","2","20","1","76","PCR","Patients","adm","0","36","0","0","0","36","0","0","0","0","0","0","0","0","0"
"2","0.20.2","1","2","4","26","4","2","20","1","76","PCR","Patients","sym","10","76","10","10","0","66","0","0","0","0","0","0","0","0","11"
"3","0.20.2","1","2","4","26","4","2","20","1","76","PCR","Patients","adm_sym","10","112","10","10","0","102","0","0","0","0","0","0","0","0","11"
"4","0.20.2","1","2","4","26","4","2","20","1","76","PCR","Patients","d01","1","151","1","1","0","150","0","0","0","0","0","0","0","0","6"
"5","0.20.2","1","2","4","26","4","2","20","1","76","PCR","Patients","d02","1","152","1","1","0","151","0","0","0","0","0","0","0","0","6"
"6","0.20.2","1","2","4","26","4","2","20","1","76","PCR","Patients","d03","1","153","1","1","0","152","0","0","0","0","0","0","0","0","6"
"7","0.20.2","1","2","4","26","4","2","20","1","76","PCR","Patients","d04","1","156","1","1","0","155","0","0","0","0","0","0","0","0","3"
"8","0.20.2","1","2","4","26","4","2","20","1","76","PCR","Patients","d05","2","158","2","2","0","156","0","0","0","0","0","0","0","0","5"
"9","0.20.2","1","2","4","26","4","2","20","1","76","PCR","Patients","d06","2","154","2","2","0","152","0","0","0","0","0","0","0","0","5"
"10","0.20.2","1","2","4","26","4","2","20","1","76","PCR","Patients","d07","2","153","2","2","0","151","0","0","0","0","0","0","0","0","3"
"11","0.20.2","1","2","4","26","4","2","20","1","76","PCR","Patients","d08","3","159","3","3","0","156","0","0","0","0","0","0","0","0","1"
"12","0.20.2","1","2","4","26","4","2","20","1","76","PCR","Patients","d09","5","159","5","5","0","154","0","0","0","0","0","0","0","0","4"
"13","0.20.2","1","2","4","26","4","2","20","1","76","PCR","Patients","adm_sym_d01","11","263","11","11","0","252","0","0","0","0","0","0","0","0","17"
"14","0.20.2","1","2","4","26","4","2","20","1","76","PCR","Patients","adm_sym_d02","11","264","11","11","0","253","0","0","0","0","0","0","0","0","17"
"15","0.20.2","1","2","4","26","4","2","20","1","76","PCR","Patients","adm_sym_d03","11","265","11","11","0","254","0","0","0","0","0","0","0","0","17"
"16","0.20.2","1","2","4","26","4","2","20","1","76","PCR","Patients","adm_sym_d04","11","268","11","11","0","257","0","0","0","0","0","0","0","0","14"
"17","0.20.2","1","2","4","26","4","2","20","1","76","PCR","Patients","adm_sym_d05","12","270","12","12","0","258","0","0","0","0","0","0","0","0","16"
"18","0.20.2","1","2","4","26","4","2","20","1","76","PCR","Patients","adm_sym_d06","12","266","12","12","0","254","0","0","0","0","0","0","0","0","16"
"19","0.20.2","1","2","4","26","4","2","20","1","76","PCR","Patients","adm_sym_d07","12","265","12","12","0","253","0","0","0","0","0","0","0","0","14"
"20","0.20.2","1","2","4","26","4","2","20","1","76","PCR","Patients","adm_sym_d08","13","271","13","13","0","258","0","0","0","0","0","0","0","0","12"
"21","0.20.2","1","2","4","26","4","2","20","1","76","PCR","Patients","adm_sym_d09","15","271","15","15","0","256","0","0","0","0","0","0","0","0","14"
"22","0.20.2","1","2","4","26","4","2","20","1","76","PCR","Patients","adm_sym_d01_d02","12","415","12","12","0","403","0","0","0","0","0","0","0","0","17"
