"","immunity","IPC","Network","simulationCTC","incSarscov2","incIndex","incCommCases","incNosocomial","testingRound","incSymptoms","typeDailyScreening","targetDailyScreening","stratSurveillance","PCR.n_positive_and_tested","PCR.n_test","PCR.n_test_positive","PCR.n_test_true_positive","PCR.n_test_false_positive","PCR.n_test_true_negative","PCR.n_test_false_negative","RDT.n_positive_and_tested","RDT.n_test","RDT.n_test_positive","RDT.n_test_true_positive","RDT.n_test_false_positive","RDT.n_test_true_negative","RDT.n_test_false_negative","infAverted"
"1","0.20.2","1","2","1","16","4","2","10","1","50","PCR","Patients","adm","0","36","0","0","0","36","0","0","0","0","0","0","0","0","0"
"2","0.20.2","1","2","1","16","4","2","10","1","50","PCR","Patients","sym","8","50","8","8","0","42","0","0","0","0","0","0","0","0","10"
"3","0.20.2","1","2","1","16","4","2","10","1","50","PCR","Patients","adm_sym","8","86","8","8","0","78","0","0","0","0","0","0","0","0","10"
"4","0.20.2","1","2","1","16","4","2","10","1","50","PCR","Patients","d01","1","151","1","1","0","150","0","0","0","0","0","0","0","0","10"
"5","0.20.2","1","2","1","16","4","2","10","1","50","PCR","Patients","d02","1","152","1","1","0","151","0","0","0","0","0","0","0","0","4"
"6","0.20.2","1","2","1","16","4","2","10","1","50","PCR","Patients","d03","1","153","1","1","0","152","0","0","0","0","0","0","0","0","4"
"7","0.20.2","1","2","1","16","4","2","10","1","50","PCR","Patients","d04","1","156","1","1","0","155","0","0","0","0","0","0","0","0","4"
"8","0.20.2","1","2","1","16","4","2","10","1","50","PCR","Patients","d05","1","158","1","1","0","157","0","0","0","0","0","0","0","0","4"
"9","0.20.2","1","2","1","16","4","2","10","1","50","PCR","Patients","d06","2","154","2","2","0","152","0","0","0","0","0","0","0","0","4"
"10","0.20.2","1","2","1","16","4","2","10","1","50","PCR","Patients","d07","3","153","3","3","0","150","0","0","0","0","0","0","0","0","7"
"11","0.20.2","1","2","1","16","4","2","10","1","50","PCR","Patients","d08","3","159","3","3","0","156","0","0","0","0","0","0","0","0","7"
"12","0.20.2","1","2","1","16","4","2","10","1","50","PCR","Patients","d09","3","159","3","3","0","156","0","0","0","0","0","0","0","0","5"
"13","0.20.2","1","2","1","16","4","2","10","1","50","PCR","Patients","adm_sym_d01","9","237","9","9","0","228","0","0","0","0","0","0","0","0","10"
"14","0.20.2","1","2","1","16","4","2","10","1","50","PCR","Patients","adm_sym_d02","9","238","9","9","0","229","0","0","0","0","0","0","0","0","10"
"15","0.20.2","1","2","1","16","4","2","10","1","50","PCR","Patients","adm_sym_d03","9","239","9","9","0","230","0","0","0","0","0","0","0","0","10"
"16","0.20.2","1","2","1","16","4","2","10","1","50","PCR","Patients","adm_sym_d04","9","242","9","9","0","233","0","0","0","0","0","0","0","0","10"
"17","0.20.2","1","2","1","16","4","2","10","1","50","PCR","Patients","adm_sym_d05","9","244","9","9","0","235","0","0","0","0","0","0","0","0","10"
"18","0.20.2","1","2","1","16","4","2","10","1","50","PCR","Patients","adm_sym_d06","10","240","10","10","0","230","0","0","0","0","0","0","0","0","10"
"19","0.20.2","1","2","1","16","4","2","10","1","50","PCR","Patients","adm_sym_d07","11","239","11","11","0","228","0","0","0","0","0","0","0","0","10"
"20","0.20.2","1","2","1","16","4","2","10","1","50","PCR","Patients","adm_sym_d08","11","245","11","11","0","234","0","0","0","0","0","0","0","0","10"
"21","0.20.2","1","2","1","16","4","2","10","1","50","PCR","Patients","adm_sym_d09","11","245","11","11","0","234","0","0","0","0","0","0","0","0","10"
"22","0.20.2","1","2","1","16","4","2","10","1","50","PCR","Patients","adm_sym_d01_d02","10","389","10","10","0","379","0","0","0","0","0","0","0","0","10"
"23","0.20.2","1","2","1","16","4","2","10","1","50","PCR","Patients","adm_sym_d01_d03","10","390","10","10","0","380","0","0","0","0","0","0","0","0","10"
"24","0.20.2","1","2","1","16","4","2","10","1","50","PCR","Patients","adm_sym_d01_d04","10","393","10","10","0","383","0","0","0","0","0","0","0","0","10"
"25","0.20.2","1","2","1","16","4","2","10","1","50","PCR","Patients","adm_sym_d01_d05","10","395","10","10","0","385","0","0","0","0","0","0","0","0","10"
"26","0.20.2","1","2","1","16","4","2","10","1","50","PCR","Patients","adm_sym_d01_d06","11","391","11","11","0","380","0","0","0","0","0","0","0","0","10"
"27","0.20.2","1","2","1","16","4","2","10","1","50","PCR","Patients","adm_sym_d01_d07","12","390","12","12","0","378","0","0","0","0","0","0","0","0","10"
"28","0.20.2","1","2","1","16","4","2","10","1","50","PCR","Patients","adm_sym_d01_d08","12","396","12","12","0","384","0","0","0","0","0","0","0","0","10"
"29","0.20.2","1","2","1","16","4","2","10","1","50","PCR","Patients","adm_sym_d01_d09","12","396","12","12","0","384","0","0","0","0","0","0","0","0","10"
"30","0.20.2","1","2","1","16","4","2","10","1","50","PCR","Staff","adm","0","36","0","0","0","36","0","0","0","0","0","0","0","0","0"
