"","immunity","IPC","Network","simulationCTC","incSarscov2","incIndex","incCommCases","incNosocomial","testingRound","incSymptoms","typeDailyScreening","targetDailyScreening","stratSurveillance","PCR.n_positive_and_tested","PCR.n_test","PCR.n_test_positive","PCR.n_test_true_positive","PCR.n_test_false_positive","PCR.n_test_true_negative","PCR.n_test_false_negative","RDT.n_positive_and_tested","RDT.n_test","RDT.n_test_positive","RDT.n_test_true_positive","RDT.n_test_false_positive","RDT.n_test_true_negative","RDT.n_test_false_negative","infAverted"
"1","0.20.2","1","1","1","54","4","3","47","1","94","PCR","Patients","adm","0","36","0","0","0","36","0","0","0","0","0","0","0","0","0"
"2","0.20.2","1","1","1","54","4","3","47","1","94","PCR","Patients","sym","19","94","13","13","0","75","6","0","0","0","0","0","0","0","20"
"3","0.20.2","1","1","1","54","4","3","47","1","94","PCR","Patients","adm_sym","19","130","13","13","0","111","6","0","0","0","0","0","0","0","20"
"4","0.20.2","1","1","1","54","4","3","47","1","94","PCR","Patients","d01","1","151","1","1","0","150","0","0","0","0","0","0","0","0","14"
"5","0.20.2","1","1","1","54","4","3","47","1","94","PCR","Patients","d02","2","152","1","1","0","150","1","0","0","0","0","0","0","0","14"
"6","0.20.2","1","1","1","54","4","3","47","1","94","PCR","Patients","d03","3","153","0","0","0","150","3","0","0","0","0","0","0","0","0"
"7","0.20.2","1","1","1","54","4","3","47","1","94","PCR","Patients","d04","3","156","1","1","0","153","2","0","0","0","0","0","0","0","14"
"8","0.20.2","1","1","1","54","4","3","47","1","94","PCR","Patients","d05","3","158","1","1","0","155","2","0","0","0","0","0","0","0","1"
"9","0.20.2","1","1","1","54","4","3","47","1","94","PCR","Patients","d06","4","154","2","2","0","150","2","0","0","0","0","0","0","0","0"
"10","0.20.2","1","1","1","54","4","3","47","1","94","PCR","Patients","d07","5","153","2","2","0","148","3","0","0","0","0","0","0","0","0"
"11","0.20.2","1","1","1","54","4","3","47","1","94","PCR","Patients","d08","7","159","2","2","0","152","5","0","0","0","0","0","0","0","0"
"12","0.20.2","1","1","1","54","4","3","47","1","94","PCR","Patients","d09","9","159","3","3","0","150","6","0","0","0","0","0","0","0","0"
"13","0.20.2","1","1","1","54","4","3","47","1","94","PCR","Patients","adm_sym_d01","20","281","14","14","0","261","6","0","0","0","0","0","0","0","20"
"14","0.20.2","1","1","1","54","4","3","47","1","94","PCR","Patients","adm_sym_d02","21","282","14","14","0","261","7","0","0","0","0","0","0","0","20"
"15","0.20.2","1","1","1","54","4","3","47","1","94","PCR","Patients","adm_sym_d03","22","283","13","13","0","261","9","0","0","0","0","0","0","0","20"
"16","0.20.2","1","1","1","54","4","3","47","1","94","PCR","Patients","adm_sym_d04","22","286","14","14","0","264","8","0","0","0","0","0","0","0","20"
"17","0.20.2","1","1","1","54","4","3","47","1","94","PCR","Patients","adm_sym_d05","22","288","14","14","0","266","8","0","0","0","0","0","0","0","20"
