"","immunity","IPC","Network","simulationCTC","incSarscov2","incIndex","incCommCases","incNosocomial","testingRound","incSymptoms","typeDailyScreening","targetDailyScreening","stratSurveillance","PCR.n_positive_and_tested","PCR.n_test","PCR.n_test_positive","PCR.n_test_true_positive","PCR.n_test_false_positive","PCR.n_test_true_negative","PCR.n_test_false_negative","RDT.n_positive_and_tested","RDT.n_test","RDT.n_test_positive","RDT.n_test_true_positive","RDT.n_test_false_positive","RDT.n_test_true_negative","RDT.n_test_false_negative","infAverted"
"1","0.50.5","2","2","2","8","4","1","3","1","89","PCR","Patients","adm","0","36","0","0","0","36","0","0","0","0","0","0","0","0","0"
"2","0.50.5","2","2","2","8","4","1","3","1","89","PCR","Patients","sym","5","89","4","4","0","84","1","0","0","0","0","0","0","0","2"
"3","0.50.5","2","2","2","8","4","1","3","1","89","PCR","Patients","adm_sym","5","125","4","4","0","120","1","0","0","0","0","0","0","0","2"
"4","0.50.5","2","2","2","8","4","1","3","1","89","PCR","Patients","d01","1","151","0","0","0","150","1","0","0","0","0","0","0","0","0"
"5","0.50.5","2","2","2","8","4","1","3","1","89","PCR","Patients","d02","1","152","0","0","0","151","1","0","0","0","0","0","0","0","0"
"6","0.50.5","2","2","2","8","4","1","3","1","89","PCR","Patients","d03","1","153","1","1","0","152","0","0","0","0","0","0","0","0","2"
"7","0.50.5","2","2","2","8","4","1","3","1","89","PCR","Patients","d04","1","156","1","1","0","155","0","0","0","0","0","0","0","0","2"
"8","0.50.5","2","2","2","8","4","1","3","1","89","PCR","Patients","d05","1","158","1","1","0","157","0","0","0","0","0","0","0","0","2"
"9","0.50.5","2","2","2","8","4","1","3","1","89","PCR","Patients","d06","1","154","1","1","0","153","0","0","0","0","0","0","0","0","2"
"10","0.50.5","2","2","2","8","4","1","3","1","89","PCR","Patients","d07","1","153","1","1","0","152","0","0","0","0","0","0","0","0","1"
"11","0.50.5","2","2","2","8","4","1","3","1","89","PCR","Patients","d08","2","159","2","2","0","157","0","0","0","0","0","0","0","0","1"
"12","0.50.5","2","2","2","8","4","1","3","1","89","PCR","Patients","d09","2","159","1","1","0","157","1","0","0","0","0","0","0","0","0"
"13","0.50.5","2","2","2","8","4","1","3","1","89","PCR","Patients","adm_sym_d01","6","276","4","4","0","270","2","0","0","0","0","0","0","0","2"
"14","0.50.5","2","2","2","8","4","1","3","1","89","PCR","Patients","adm_sym_d02","6","277","4","4","0","271","2","0","0","0","0","0","0","0","2"
"15","0.50.5","2","2","2","8","4","1","3","1","89","PCR","Patients","adm_sym_d03","6","278","5","5","0","272","1","0","0","0","0","0","0","0","3"
"16","0.50.5","2","2","2","8","4","1","3","1","89","PCR","Patients","adm_sym_d04","6","281","5","5","0","275","1","0","0","0","0","0","0","0","3"
"17","0.50.5","2","2","2","8","4","1","3","1","89","PCR","Patients","adm_sym_d05","6","283","5","5","0","277","1","0","0","0","0","0","0","0","3"
"18","0.50.5","2","2","2","8","4","1","3","1","89","PCR","Patients","adm_sym_d06","6","279","5","5","0","273","1","0","0","0","0","0","0","0","3"
"19","0.50.5","2","2","2","8","4","1","3","1","89","PCR","Patients","adm_sym_d07","6","278","5","5","0","272","1","0","0","0","0","0","0","0","2"
"20","0.50.5","2","2","2","8","4","1","3","1","89","PCR","Patients","adm_sym_d08","7","284","6","6","0","277","1","0","0","0","0","0","0","0","2"
"21","0.50.5","2","2","2","8","4","1","3","1","89","PCR","Patients","adm_sym_d09","7","284","5","5","0","277","2","0","0","0","0","0","0","0","2"
"22","0.50.5","2","2","2","8","4","1","3","1","89","PCR","Patients","adm_sym_d01_d02","7","428","4","4","0","421","3","0","0","0","0","0","0","0","2"
"23","0.50.5","2","2","2","8","4","1","3","1","89","PCR","Patients","adm_sym_d01_d03","7","429","5","5","0","422","2","0","0","0","0","0","0","0","3"
"24","0.50.5","2","2","2","8","4","1","3","1","89","PCR","Patients","adm_sym_d01_d04","7","432","5","5","0","425","2","0","0","0","0","0","0","0","3"
"25","0.50.5","2","2","2","8","4","1","3","1","89","PCR","Patients","adm_sym_d01_d05","7","434","5","5","0","427","2","0","0","0","0","0","0","0","3"
"26","0.50.5","2","2","2","8","4","1","3","1","89","PCR","Patients","adm_sym_d01_d06","7","430","5","5","0","423","2","0","0","0","0","0","0","0","3"
"27","0.50.5","2","2","2","8","4","1","3","1","89","PCR","Patients","adm_sym_d01_d07","7","429","5","5","0","422","2","0","0","0","0","0","0","0","2"
"28","0.50.5","2","2","2","8","4","1","3","1","89","PCR","Patients","adm_sym_d01_d08","8","435","6","6","0","427","2","0","0","0","0","0","0","0","2"
"29","0.50.5","2","2","2","8","4","1","3","1","89","PCR","Patients","adm_sym_d01_d09","8","435","5","5","0","427","3","0","0","0","0","0","0","0","2"
"30","0.50.5","2","2","2","8","4","1","3","1","89","PCR","Staff","adm","0","36","0","0","0","36","0","0","0","0","0","0","0","0","0"
"31","0.50.5","2","2","2","8","4","1","3","1","89","PCR","Staff","sym","5","89","4","4","0","84","1","0","0","0","0","0","0","0","2"
"32","0.50.5","2","2","2","8","4","1","3","1","89","PCR","Staff","adm_sym","5","125","4","4","0","120","1","0","0","0","0","0","0","0","2"
"33","0.50.5","2","2","2","8","4","1","3","1","89","PCR","Staff","d01","3","236","2","2","0","233","1","0","0","0","0","0","0","0","0"
"34","0.50.5","2","2","2","8","4","1","3","1","89","PCR","Staff","d02","3","237","1","1","0","234","2","0","0","0","0","0","0","0","0"
"35","0.50.5","2","2","2","8","4","1","3","1","89","PCR","Staff","d03","3","238","3","3","0","235","0","0","0","0","0","0","0","0","1"
"36","0.50.5","2","2","2","8","4","1","3","1","89","PCR","Staff","d04","3","239","1","1","0","236","2","0","0","0","0","0","0","0","1"
"37","0.50.5","2","2","2","8","4","1","3","1","89","PCR","Staff","d05","4","239","4","4","0","235","0","0","0","0","0","0","0","0","0"
"38","0.50.5","2","2","2","8","4","1","3","1","89","PCR","Staff","d06","5","239","4","4","0","234","1","0","0","0","0","0","0","0","0"
"39","0.50.5","2","2","2","8","4","1","3","1","89","PCR","Staff","d07","5","239","5","5","0","234","0","0","0","0","0","0","0","0","0"
"40","0.50.5","2","2","2","8","4","1","3","1","89","PCR","Staff","d08","5","239","5","5","0","234","0","0","0","0","0","0","0","0","0"
"41","0.50.5","2","2","2","8","4","1","3","1","89","PCR","Staff","d09","5","239","5","5","0","234","0","0","0","0","0","0","0","0","0"
"42","0.50.5","2","2","2","8","4","1","3","1","89","PCR","Staff","adm_sym_d01","8","361","6","6","0","353","2","0","0","0","0","0","0","0","2"
"43","0.50.5","2","2","2","8","4","1","3","1","89","PCR","Staff","adm_sym_d02","8","362","5","5","0","354","3","0","0","0","0","0","0","0","2"
"44","0.50.5","2","2","2","8","4","1","3","1","89","PCR","Staff","adm_sym_d03","8","363","7","7","0","355","1","0","0","0","0","0","0","0","2"
"45","0.50.5","2","2","2","8","4","1","3","1","89","PCR","Staff","adm_sym_d04","8","364","5","5","0","356","3","0","0","0","0","0","0","0","2"
"46","0.50.5","2","2","2","8","4","1","3","1","89","PCR","Staff","adm_sym_d05","9","364","8","8","0","355","1","0","0","0","0","0","0","0","2"
"47","0.50.5","2","2","2","8","4","1","3","1","89","PCR","Staff","adm_sym_d06","10","364","8","8","0","354","2","0","0","0","0","0","0","0","2"
