"","immunity","IPC","Network","simulationCTC","incSarscov2","incIndex","incCommCases","incNosocomial","testingRound","incSymptoms","typeDailyScreening","targetDailyScreening","stratSurveillance","PCR.n_positive_and_tested","PCR.n_test","PCR.n_test_positive","PCR.n_test_true_positive","PCR.n_test_false_positive","PCR.n_test_true_negative","PCR.n_test_false_negative","RDT.n_positive_and_tested","RDT.n_test","RDT.n_test_positive","RDT.n_test_true_positive","RDT.n_test_false_positive","RDT.n_test_true_negative","RDT.n_test_false_negative","infAverted"
"1","0.20.2","1","1","2","21","4","2","15","1","72","PCR","Patients","adm","0","36","0","0","0","36","0","0","0","0","0","0","0","0","0"
"2","0.20.2","1","1","2","21","4","2","15","1","72","PCR","Patients","sym","10","72","10","10","0","62","0","0","0","0","0","0","0","0","14"
"3","0.20.2","1","1","2","21","4","2","15","1","72","PCR","Patients","adm_sym","10","108","10","10","0","98","0","0","0","0","0","0","0","0","14"
"4","0.20.2","1","1","2","21","4","2","15","1","72","PCR","Patients","d01","1","151","1","1","0","150","0","0","0","0","0","0","0","0","0"
"5","0.20.2","1","1","2","21","4","2","15","1","72","PCR","Patients","d02","1","152","1","1","0","151","0","0","0","0","0","0","0","0","0"
"6","0.20.2","1","1","2","21","4","2","15","1","72","PCR","Patients","d03","1","153","1","1","0","152","0","0","0","0","0","0","0","0","0"
"7","0.20.2","1","1","2","21","4","2","15","1","72","PCR","Patients","d04","2","156","2","2","0","154","0","0","0","0","0","0","0","0","11"
"8","0.20.2","1","1","2","21","4","2","15","1","72","PCR","Patients","d05","2","158","2","2","0","156","0","0","0","0","0","0","0","0","11"
"9","0.20.2","1","1","2","21","4","2","15","1","72","PCR","Patients","d06","3","154","3","3","0","151","0","0","0","0","0","0","0","0","10"
"10","0.20.2","1","1","2","21","4","2","15","1","72","PCR","Patients","d07","3","153","3","3","0","150","0","0","0","0","0","0","0","0","7"
"11","0.20.2","1","1","2","21","4","2","15","1","72","PCR","Patients","d08","4","159","4","4","0","155","0","0","0","0","0","0","0","0","6"
"12","0.20.2","1","1","2","21","4","2","15","1","72","PCR","Patients","d09","5","159","5","5","0","154","0","0","0","0","0","0","0","0","8"
"13","0.20.2","1","1","2","21","4","2","15","1","72","PCR","Patients","adm_sym_d01","11","259","11","11","0","248","0","0","0","0","0","0","0","0","14"
"14","0.20.2","1","1","2","21","4","2","15","1","72","PCR","Patients","adm_sym_d02","11","260","11","11","0","249","0","0","0","0","0","0","0","0","14"
"15","0.20.2","1","1","2","21","4","2","15","1","72","PCR","Patients","adm_sym_d03","11","261","11","11","0","250","0","0","0","0","0","0","0","0","14"
