"","immunity","IPC","Network","simulationCTC","incSarscov2","incIndex","incCommCases","incNosocomial","testingRound","incSymptoms","typeDailyScreening","targetDailyScreening","stratSurveillance","PCR.n_positive_and_tested","PCR.n_test","PCR.n_test_positive","PCR.n_test_true_positive","PCR.n_test_false_positive","PCR.n_test_true_negative","PCR.n_test_false_negative","RDT.n_positive_and_tested","RDT.n_test","RDT.n_test_positive","RDT.n_test_true_positive","RDT.n_test_false_positive","RDT.n_test_true_negative","RDT.n_test_false_negative","infAverted"
"1","0.20.2","1","2","3","18","4","2","12","1","84","PCR","Patients","adm","0","36","0","0","0","36","0","0","0","0","0","0","0","0","0"
"2","0.20.2","1","2","3","18","4","2","12","1","84","PCR","Patients","sym","9","84","6","6","0","75","3","0","0","0","0","0","0","0","12"
"3","0.20.2","1","2","3","18","4","2","12","1","84","PCR","Patients","adm_sym","9","120","6","6","0","111","3","0","0","0","0","0","0","0","12"
"4","0.20.2","1","2","3","18","4","2","12","1","84","PCR","Patients","d01","1","151","0","0","0","150","1","0","0","0","0","0","0","0","0"
"5","0.20.2","1","2","3","18","4","2","12","1","84","PCR","Patients","d02","1","152","0","0","0","151","1","0","0","0","0","0","0","0","0"
"6","0.20.2","1","2","3","18","4","2","12","1","84","PCR","Patients","d03","2","153","1","1","0","151","1","0","0","0","0","0","0","0","7"
"7","0.20.2","1","2","3","18","4","2","12","1","84","PCR","Patients","d04","2","156","1","1","0","154","1","0","0","0","0","0","0","0","5"
"8","0.20.2","1","2","3","18","4","2","12","1","84","PCR","Patients","d05","3","158","2","2","0","155","1","0","0","0","0","0","0","0","6"
"9","0.20.2","1","2","3","18","4","2","12","1","84","PCR","Patients","d06","3","154","2","2","0","151","1","0","0","0","0","0","0","0","1"
"10","0.20.2","1","2","3","18","4","2","12","1","84","PCR","Patients","d07","5","153","4","4","0","148","1","0","0","0","0","0","0","0","1"
"11","0.20.2","1","2","3","18","4","2","12","1","84","PCR","Patients","d08","5","159","1","1","0","154","4","0","0","0","0","0","0","0","3"
"12","0.20.2","1","2","3","18","4","2","12","1","84","PCR","Patients","d09","6","159","4","4","0","153","2","0","0","0","0","0","0","0","0"
"13","0.20.2","1","2","3","18","4","2","12","1","84","PCR","Patients","adm_sym_d01","10","271","6","6","0","261","4","0","0","0","0","0","0","0","12"
"14","0.20.2","1","2","3","18","4","2","12","1","84","PCR","Patients","adm_sym_d02","10","272","6","6","0","262","4","0","0","0","0","0","0","0","12"
"15","0.20.2","1","2","3","18","4","2","12","1","84","PCR","Patients","adm_sym_d03","11","273","7","7","0","262","4","0","0","0","0","0","0","0","12"
"16","0.20.2","1","2","3","18","4","2","12","1","84","PCR","Patients","adm_sym_d04","11","276","7","7","0","265","4","0","0","0","0","0","0","0","12"
"17","0.20.2","1","2","3","18","4","2","12","1","84","PCR","Patients","adm_sym_d05","12","278","8","8","0","266","4","0","0","0","0","0","0","0","12"
"18","0.20.2","1","2","3","18","4","2","12","1","84","PCR","Patients","adm_sym_d06","12","274","8","8","0","262","4","0","0","0","0","0","0","0","12"
"19","0.20.2","1","2","3","18","4","2","12","1","84","PCR","Patients","adm_sym_d07","14","273","10","10","0","259","4","0","0","0","0","0","0","0","12"
"20","0.20.2","1","2","3","18","4","2","12","1","84","PCR","Patients","adm_sym_d08","14","279","7","7","0","265","7","0","0","0","0","0","0","0","12"
"21","0.20.2","1","2","3","18","4","2","12","1","84","PCR","Patients","adm_sym_d09","15","279","10","10","0","264","5","0","0","0","0","0","0","0","12"
"22","0.20.2","1","2","3","18","4","2","12","1","84","PCR","Patients","adm_sym_d01_d02","11","423","6","6","0","412","5","0","0","0","0","0","0","0","12"
"23","0.20.2","1","2","3","18","4","2","12","1","84","PCR","Patients","adm_sym_d01_d03","12","424","7","7","0","412","5","0","0","0","0","0","0","0","12"
"24","0.20.2","1","2","3","18","4","2","12","1","84","PCR","Patients","adm_sym_d01_d04","12","427","7","7","0","415","5","0","0","0","0","0","0","0","12"
"25","0.20.2","1","2","3","18","4","2","12","1","84","PCR","Patients","adm_sym_d01_d05","13","429","8","8","0","416","5","0","0","0","0","0","0","0","12"
"26","0.20.2","1","2","3","18","4","2","12","1","84","PCR","Patients","adm_sym_d01_d06","13","425","8","8","0","412","5","0","0","0","0","0","0","0","12"
"27","0.20.2","1","2","3","18","4","2","12","1","84","PCR","Patients","adm_sym_d01_d07","15","424","10","10","0","409","5","0","0","0","0","0","0","0","12"
"28","0.20.2","1","2","3","18","4","2","12","1","84","PCR","Patients","adm_sym_d01_d08","15","430","7","7","0","415","8","0","0","0","0","0","0","0","12"
"29","0.20.2","1","2","3","18","4","2","12","1","84","PCR","Patients","adm_sym_d01_d09","16","430","10","10","0","414","6","0","0","0","0","0","0","0","12"
"30","0.20.2","1","2","3","18","4","2","12","1","84","PCR","Staff","adm","0","36","0","0","0","36","0","0","0","0","0","0","0","0","0"
"31","0.20.2","1","2","3","18","4","2","12","1","84","PCR","Staff","sym","9","84","6","6","0","75","3","0","0","0","0","0","0","0","12"
"32","0.20.2","1","2","3","18","4","2","12","1","84","PCR","Staff","adm_sym","9","120","6","6","0","111","3","0","0","0","0","0","0","0","12"
"33","0.20.2","1","2","3","18","4","2","12","1","84","PCR","Staff","d01","3","236","2","2","0","233","1","0","0","0","0","0","0","0","2"
"34","0.20.2","1","2","3","18","4","2","12","1","84","PCR","Staff","d02","3","237","3","3","0","234","0","0","0","0","0","0","0","0","2"
"35","0.20.2","1","2","3","18","4","2","12","1","84","PCR","Staff","d03","3","238","3","3","0","235","0","0","0","0","0","0","0","0","2"
"36","0.20.2","1","2","3","18","4","2","12","1","84","PCR","Staff","d04","3","239","2","2","0","236","1","0","0","0","0","0","0","0","2"
"37","0.20.2","1","2","3","18","4","2","12","1","84","PCR","Staff","d05","3","239","2","2","0","236","1","0","0","0","0","0","0","0","0"
"38","0.20.2","1","2","3","18","4","2","12","1","84","PCR","Staff","d06","4","239","4","4","0","235","0","0","0","0","0","0","0","0","2"
"39","0.20.2","1","2","3","18","4","2","12","1","84","PCR","Staff","d07","6","239","4","4","0","233","2","0","0","0","0","0","0","0","0"
"40","0.20.2","1","2","3","18","4","2","12","1","84","PCR","Staff","d08","6","239","3","3","0","233","3","0","0","0","0","0","0","0","1"
"41","0.20.2","1","2","3","18","4","2","12","1","84","PCR","Staff","d09","6","239","5","5","0","233","1","0","0","0","0","0","0","0","0"
"42","0.20.2","1","2","3","18","4","2","12","1","84","PCR","Staff","adm_sym_d01","12","356","8","8","0","344","4","0","0","0","0","0","0","0","12"
