"","immunity","IPC","Network","simulationCTC","incSarscov2","incIndex","incCommCases","incNosocomial","testingRound","incSymptoms","typeDailyScreening","targetDailyScreening","stratSurveillance","PCR.n_positive_and_tested","PCR.n_test","PCR.n_test_positive","PCR.n_test_true_positive","PCR.n_test_false_positive","PCR.n_test_true_negative","PCR.n_test_false_negative","RDT.n_positive_and_tested","RDT.n_test","RDT.n_test_positive","RDT.n_test_true_positive","RDT.n_test_false_positive","RDT.n_test_true_negative","RDT.n_test_false_negative","infAverted"
"1","0.20.2","1","1","1","54","4","3","47","1","67","PCR","Patients","adm","0","36","0","0","0","36","0","0","0","0","0","0","0","0","0"
"2","0.20.2","1","1","1","54","4","3","47","1","67","PCR","Patients","sym","17","67","17","17","0","50","0","0","0","0","0","0","0","0","20"
"3","0.20.2","1","1","1","54","4","3","47","1","67","PCR","Patients","adm_sym","17","103","17","17","0","86","0","0","0","0","0","0","0","0","20"
"4","0.20.2","1","1","1","54","4","3","47","1","67","PCR","Patients","d01","1","151","1","1","0","150","0","0","0","0","0","0","0","0","14"
"5","0.20.2","1","1","1","54","4","3","47","1","67","PCR","Patients","d02","2","152","2","2","0","150","0","0","0","0","0","0","0","0","14"
"6","0.20.2","1","1","1","54","4","3","47","1","67","PCR","Patients","d03","3","153","3","3","0","150","0","0","0","0","0","0","0","0","18"
"7","0.20.2","1","1","1","54","4","3","47","1","67","PCR","Patients","d04","3","156","3","3","0","153","0","0","0","0","0","0","0","0","18"
"8","0.20.2","1","1","1","54","4","3","47","1","67","PCR","Patients","d05","3","158","3","3","0","155","0","0","0","0","0","0","0","0","5"
"9","0.20.2","1","1","1","54","4","3","47","1","67","PCR","Patients","d06","4","154","4","4","0","150","0","0","0","0","0","0","0","0","14"
"10","0.20.2","1","1","1","54","4","3","47","1","67","PCR","Patients","d07","5","153","5","5","0","148","0","0","0","0","0","0","0","0","11"
"11","0.20.2","1","1","1","54","4","3","47","1","67","PCR","Patients","d08","7","159","7","7","0","152","0","0","0","0","0","0","0","0","34"
"12","0.20.2","1","1","1","54","4","3","47","1","67","PCR","Patients","d09","9","159","9","9","0","150","0","0","0","0","0","0","0","0","34"
"13","0.20.2","1","1","1","54","4","3","47","1","67","PCR","Patients","adm_sym_d01","18","254","18","18","0","236","0","0","0","0","0","0","0","0","20"
"14","0.20.2","1","1","1","54","4","3","47","1","67","PCR","Patients","adm_sym_d02","19","255","19","19","0","236","0","0","0","0","0","0","0","0","20"
"15","0.20.2","1","1","1","54","4","3","47","1","67","PCR","Patients","adm_sym_d03","20","256","20","20","0","236","0","0","0","0","0","0","0","0","20"
"16","0.20.2","1","1","1","54","4","3","47","1","67","PCR","Patients","adm_sym_d04","20","259","20","20","0","239","0","0","0","0","0","0","0","0","20"
"17","0.20.2","1","1","1","54","4","3","47","1","67","PCR","Patients","adm_sym_d05","20","261","20","20","0","241","0","0","0","0","0","0","0","0","20"
"18","0.20.2","1","1","1","54","4","3","47","1","67","PCR","Patients","adm_sym_d06","21","257","21","21","0","236","0","0","0","0","0","0","0","0","20"
"19","0.20.2","1","1","1","54","4","3","47","1","67","PCR","Patients","adm_sym_d07","22","256","22","22","0","234","0","0","0","0","0","0","0","0","20"
"20","0.20.2","1","1","1","54","4","3","47","1","67","PCR","Patients","adm_sym_d08","24","262","24","24","0","238","0","0","0","0","0","0","0","0","44"
"21","0.20.2","1","1","1","54","4","3","47","1","67","PCR","Patients","adm_sym_d09","26","262","26","26","0","236","0","0","0","0","0","0","0","0","44"
"22","0.20.2","1","1","1","54","4","3","47","1","67","PCR","Patients","adm_sym_d01_d02","20","406","20","20","0","386","0","0","0","0","0","0","0","0","20"
"23","0.20.2","1","1","1","54","4","3","47","1","67","PCR","Patients","adm_sym_d01_d03","21","407","21","21","0","386","0","0","0","0","0","0","0","0","20"
"24","0.20.2","1","1","1","54","4","3","47","1","67","PCR","Patients","adm_sym_d01_d04","21","410","21","21","0","389","0","0","0","0","0","0","0","0","20"
"25","0.20.2","1","1","1","54","4","3","47","1","67","PCR","Patients","adm_sym_d01_d05","21","412","21","21","0","391","0","0","0","0","0","0","0","0","20"
"26","0.20.2","1","1","1","54","4","3","47","1","67","PCR","Patients","adm_sym_d01_d06","22","408","22","22","0","386","0","0","0","0","0","0","0","0","20"
"27","0.20.2","1","1","1","54","4","3","47","1","67","PCR","Patients","adm_sym_d01_d07","23","407","23","23","0","384","0","0","0","0","0","0","0","0","20"
"28","0.20.2","1","1","1","54","4","3","47","1","67","PCR","Patients","adm_sym_d01_d08","25","413","25","25","0","388","0","0","0","0","0","0","0","0","44"
"29","0.20.2","1","1","1","54","4","3","47","1","67","PCR","Patients","adm_sym_d01_d09","27","413","27","27","0","386","0","0","0","0","0","0","0","0","44"
"30","0.20.2","1","1","1","54","4","3","47","1","67","PCR","Staff","adm","0","36","0","0","0","36","0","0","0","0","0","0","0","0","0"
"31","0.20.2","1","1","1","54","4","3","47","1","67","PCR","Staff","sym","17","67","17","17","0","50","0","0","0","0","0","0","0","0","20"
"32","0.20.2","1","1","1","54","4","3","47","1","67","PCR","Staff","adm_sym","17","103","17","17","0","86","0","0","0","0","0","0","0","0","20"
"33","0.20.2","1","1","1","54","4","3","47","1","67","PCR","Staff","d01","3","236","3","3","0","233","0","0","0","0","0","0","0","0","6"
"34","0.20.2","1","1","1","54","4","3","47","1","67","PCR","Staff","d02","3","237","3","3","0","234","0","0","0","0","0","0","0","0","1"
"35","0.20.2","1","1","1","54","4","3","47","1","67","PCR","Staff","d03","5","238","5","5","0","233","0","0","0","0","0","0","0","0","26"
"36","0.20.2","1","1","1","54","4","3","47","1","67","PCR","Staff","d04","5","239","5","5","0","234","0","0","0","0","0","0","0","0","26"
"37","0.20.2","1","1","1","54","4","3","47","1","67","PCR","Staff","d05","5","239","5","5","0","234","0","0","0","0","0","0","0","0","26"
"38","0.20.2","1","1","1","54","4","3","47","1","67","PCR","Staff","d06","5","239","5","5","0","234","0","0","0","0","0","0","0","0","26"
"39","0.20.2","1","1","1","54","4","3","47","1","67","PCR","Staff","d07","6","239","6","6","0","233","0","0","0","0","0","0","0","0","0"
"40","0.20.2","1","1","1","54","4","3","47","1","67","PCR","Staff","d08","8","239","8","8","0","231","0","0","0","0","0","0","0","0","1"
"41","0.20.2","1","1","1","54","4","3","47","1","67","PCR","Staff","d09","7","239","7","7","0","232","0","0","0","0","0","0","0","0","1"
"42","0.20.2","1","1","1","54","4","3","47","1","67","PCR","Staff","adm_sym_d01","20","339","20","20","0","319","0","0","0","0","0","0","0","0","20"
"43","0.20.2","1","1","1","54","4","3","47","1","67","PCR","Staff","adm_sym_d02","20","340","20","20","0","320","0","0","0","0","0","0","0","0","20"
"44","0.20.2","1","1","1","54","4","3","47","1","67","PCR","Staff","adm_sym_d03","22","341","22","22","0","319","0","0","0","0","0","0","0","0","45"
"45","0.20.2","1","1","1","54","4","3","47","1","67","PCR","Staff","adm_sym_d04","22","342","22","22","0","320","0","0","0","0","0","0","0","0","45"
"46","0.20.2","1","1","1","54","4","3","47","1","67","PCR","Staff","adm_sym_d05","22","342","22","22","0","320","0","0","0","0","0","0","0","0","45"
"47","0.20.2","1","1","1","54","4","3","47","1","67","PCR","Staff","adm_sym_d06","22","342","22","22","0","320","0","0","0","0","0","0","0","0","45"
"48","0.20.2","1","1","1","54","4","3","47","1","67","PCR","Staff","adm_sym_d07","23","342","23","23","0","319","0","0","0","0","0","0","0","0","20"
"49","0.20.2","1","1","1","54","4","3","47","1","67","PCR","Staff","adm_sym_d08","25","342","25","25","0","317","0","0","0","0","0","0","0","0","20"
"50","0.20.2","1","1","1","54","4","3","47","1","67","PCR","Staff","adm_sym_d09","24","342","24","24","0","318","0","0","0","0","0","0","0","0","20"
"51","0.20.2","1","1","1","54","4","3","47","1","67","PCR","Staff","adm_sym_d01_d02","23","576","23","23","0","553","0","0","0","0","0","0","0","0","20"
"52","0.20.2","1","1","1","54","4","3","47","1","67","PCR","Staff","adm_sym_d01_d03","25","577","25","25","0","552","0","0","0","0","0","0","0","0","45"
"53","0.20.2","1","1","1","54","4","3","47","1","67","PCR","Staff","adm_sym_d01_d04","25","578","25","25","0","553","0","0","0","0","0","0","0","0","45"
"54","0.20.2","1","1","1","54","4","3","47","1","67","PCR","Staff","adm_sym_d01_d05","25","578","25","25","0","553","0","0","0","0","0","0","0","0","45"
"55","0.20.2","1","1","1","54","4","3","47","1","67","PCR","Staff","adm_sym_d01_d06","25","578","25","25","0","553","0","0","0","0","0","0","0","0","45"
"56","0.20.2","1","1","1","54","4","3","47","1","67","PCR","Staff","adm_sym_d01_d07","26","578","26","26","0","552","0","0","0","0","0","0","0","0","20"
"57","0.20.2","1","1","1","54","4","3","47","1","67","PCR","Staff","adm_sym_d01_d08","28","578","28","28","0","550","0","0","0","0","0","0","0","0","20"
"58","0.20.2","1","1","1","54","4","3","47","1","67","PCR","Staff","adm_sym_d01_d09","27","578","27","27","0","551","0","0","0","0","0","0","0","0","20"
"59","0.20.2","1","1","1","54","4","3","47","1","67","PCR","All","adm","0","36","0","0","0","36","0","0","0","0","0","0","0","0","0"
"60","0.20.2","1","1","1","54","4","3","47","1","67","PCR","All","sym","17","67","17","17","0","50","0","0","0","0","0","0","0","0","20"
"61","0.20.2","1","1","1","54","4","3","47","1","67","PCR","All","adm_sym","17","103","17","17","0","86","0","0","0","0","0","0","0","0","20"
"62","0.20.2","1","1","1","54","4","3","47","1","67","PCR","All","d01","4","387","4","4","0","383","0","0","0","0","0","0","0","0","20"
"63","0.20.2","1","1","1","54","4","3","47","1","67","PCR","All","d02","5","389","5","5","0","384","0","0","0","0","0","0","0","0","15"
"64","0.20.2","1","1","1","54","4","3","47","1","67","PCR","All","d03","8","391","8","8","0","383","0","0","0","0","0","0","0","0","44"
"65","0.20.2","1","1","1","54","4","3","47","1","67","PCR","All","d04","8","395","8","8","0","387","0","0","0","0","0","0","0","0","44"
"66","0.20.2","1","1","1","54","4","3","47","1","67","PCR","All","d05","8","397","8","8","0","389","0","0","0","0","0","0","0","0","31"
"67","0.20.2","1","1","1","54","4","3","47","1","67","PCR","All","d06","9","393","9","9","0","384","0","0","0","0","0","0","0","0","40"
"68","0.20.2","1","1","1","54","4","3","47","1","67","PCR","All","d07","11","392","11","11","0","381","0","0","0","0","0","0","0","0","11"
"69","0.20.2","1","1","1","54","4","3","47","1","67","PCR","All","d08","15","398","15","15","0","383","0","0","0","0","0","0","0","0","35"
"70","0.20.2","1","1","1","54","4","3","47","1","67","PCR","All","d09","16","398","16","16","0","382","0","0","0","0","0","0","0","0","35"
"71","0.20.2","1","1","1","54","4","3","47","1","67","PCR","All","adm_sym_d01","21","490","21","21","0","469","0","0","0","0","0","0","0","0","20"
"72","0.20.2","1","1","1","54","4","3","47","1","67","PCR","All","adm_sym_d02","22","492","22","22","0","470","0","0","0","0","0","0","0","0","20"
"73","0.20.2","1","1","1","54","4","3","47","1","67","PCR","All","adm_sym_d03","25","494","25","25","0","469","0","0","0","0","0","0","0","0","45"
"74","0.20.2","1","1","1","54","4","3","47","1","67","PCR","All","adm_sym_d04","25","498","25","25","0","473","0","0","0","0","0","0","0","0","45"
"75","0.20.2","1","1","1","54","4","3","47","1","67","PCR","All","adm_sym_d05","25","500","25","25","0","475","0","0","0","0","0","0","0","0","45"
"76","0.20.2","1","1","1","54","4","3","47","1","67","PCR","All","adm_sym_d06","26","496","26","26","0","470","0","0","0","0","0","0","0","0","45"
"77","0.20.2","1","1","1","54","4","3","47","1","67","PCR","All","adm_sym_d07","28","495","28","28","0","467","0","0","0","0","0","0","0","0","20"
"78","0.20.2","1","1","1","54","4","3","47","1","67","PCR","All","adm_sym_d08","32","501","32","32","0","469","0","0","0","0","0","0","0","0","44"
"79","0.20.2","1","1","1","54","4","3","47","1","67","PCR","All","adm_sym_d09","33","501","33","33","0","468","0","0","0","0","0","0","0","0","44"
"80","0.20.2","1","1","1","54","4","3","47","1","67","PCR","All","adm_sym_d01_d02","26","879","26","26","0","853","0","0","0","0","0","0","0","0","20"
"81","0.20.2","1","1","1","54","4","3","47","1","67","PCR","All","adm_sym_d01_d03","29","881","29","29","0","852","0","0","0","0","0","0","0","0","45"
"82","0.20.2","1","1","1","54","4","3","47","1","67","PCR","All","adm_sym_d01_d04","29","885","29","29","0","856","0","0","0","0","0","0","0","0","45"
"83","0.20.2","1","1","1","54","4","3","47","1","67","PCR","All","adm_sym_d01_d05","29","887","29","29","0","858","0","0","0","0","0","0","0","0","45"
"84","0.20.2","1","1","1","54","4","3","47","1","67","PCR","All","adm_sym_d01_d06","30","883","30","30","0","853","0","0","0","0","0","0","0","0","45"
"85","0.20.2","1","1","1","54","4","3","47","1","67","PCR","All","adm_sym_d01_d07","32","882","32","32","0","850","0","0","0","0","0","0","0","0","20"
"86","0.20.2","1","1","1","54","4","3","47","1","67","PCR","All","adm_sym_d01_d08","36","888","36","36","0","852","0","0","0","0","0","0","0","0","44"
"87","0.20.2","1","1","1","54","4","3","47","1","67","PCR","All","adm_sym_d01_d09","37","888","37","37","0","851","0","0","0","0","0","0","0","0","44"
"88","0.20.2","1","1","1","54","4","3","47","1","67","RDT1","Patients","adm","0","36","0","0","0","36","0","0","0","0","0","0","0","0","0"
"89","0.20.2","1","1","1","54","4","3","47","1","67","RDT1","Patients","sym","17","67","17","17","0","50","0","0","0","0","0","0","0","0","20"
"90","0.20.2","1","1","1","54","4","3","47","1","67","RDT1","Patients","adm_sym","17","103","17","17","0","86","0","0","0","0","0","0","0","0","20"
"91","0.20.2","1","1","1","54","4","3","47","1","67","RDT1","Patients","d01","0","0","0","0","0","0","0","1","151","1","1","0","150","0","15"
"92","0.20.2","1","1","1","54","4","3","47","1","67","RDT1","Patients","d02","0","0","0","0","0","0","0","2","152","2","2","0","150","0","14"
"93","0.20.2","1","1","1","54","4","3","47","1","67","RDT1","Patients","d03","0","0","0","0","0","0","0","3","153","3","3","0","150","0","18"
"94","0.20.2","1","1","1","54","4","3","47","1","67","RDT1","Patients","d04","0","0","0","0","0","0","0","3","156","3","3","0","153","0","18"
"95","0.20.2","1","1","1","54","4","3","47","1","67","RDT1","Patients","d05","0","0","0","0","0","0","0","3","158","3","3","0","155","0","18"
"96","0.20.2","1","1","1","54","4","3","47","1","67","RDT1","Patients","d06","0","0","0","0","0","0","0","4","154","4","4","0","150","0","17"
"97","0.20.2","1","1","1","54","4","3","47","1","67","RDT1","Patients","d07","0","0","0","0","0","0","0","5","153","5","5","0","148","0","15"
"98","0.20.2","1","1","1","54","4","3","47","1","67","RDT1","Patients","d08","0","0","0","0","0","0","0","7","159","7","7","0","152","0","36"
"99","0.20.2","1","1","1","54","4","3","47","1","67","RDT1","Patients","d09","0","0","0","0","0","0","0","9","159","9","9","0","150","0","34"
"100","0.20.2","1","1","1","54","4","3","47","1","67","RDT1","Patients","adm_sym_d01","17","103","17","17","0","86","0","1","151","1","1","0","150","0","21"
"101","0.20.2","1","1","1","54","4","3","47","1","67","RDT1","Patients","adm_sym_d02","17","103","17","17","0","86","0","2","152","2","2","0","150","0","20"
"102","0.20.2","1","1","1","54","4","3","47","1","67","RDT1","Patients","adm_sym_d03","17","103","17","17","0","86","0","3","153","3","3","0","150","0","20"
"103","0.20.2","1","1","1","54","4","3","47","1","67","RDT1","Patients","adm_sym_d04","17","103","17","17","0","86","0","3","156","3","3","0","153","0","20"
"104","0.20.2","1","1","1","54","4","3","47","1","67","RDT1","Patients","adm_sym_d05","17","103","17","17","0","86","0","3","158","3","3","0","155","0","20"
"105","0.20.2","1","1","1","54","4","3","47","1","67","RDT1","Patients","adm_sym_d06","17","103","17","17","0","86","0","4","154","4","4","0","150","0","20"
"106","0.20.2","1","1","1","54","4","3","47","1","67","RDT1","Patients","adm_sym_d07","17","103","17","17","0","86","0","5","153","5","5","0","148","0","20"
"107","0.20.2","1","1","1","54","4","3","47","1","67","RDT1","Patients","adm_sym_d08","17","103","17","17","0","86","0","7","159","7","7","0","152","0","44"
"108","0.20.2","1","1","1","54","4","3","47","1","67","RDT1","Patients","adm_sym_d09","17","103","17","17","0","86","0","9","159","9","9","0","150","0","44"
"109","0.20.2","1","1","1","54","4","3","47","1","67","RDT1","Patients","adm_sym_d01_d02","17","103","17","17","0","86","0","3","303","3","3","0","300","0","21"
"110","0.20.2","1","1","1","54","4","3","47","1","67","RDT1","Patients","adm_sym_d01_d03","17","103","17","17","0","86","0","4","304","4","4","0","300","0","21"
"111","0.20.2","1","1","1","54","4","3","47","1","67","RDT1","Patients","adm_sym_d01_d04","17","103","17","17","0","86","0","4","307","4","4","0","303","0","21"
"112","0.20.2","1","1","1","54","4","3","47","1","67","RDT1","Patients","adm_sym_d01_d05","17","103","17","17","0","86","0","4","309","4","4","0","305","0","21"
"113","0.20.2","1","1","1","54","4","3","47","1","67","RDT1","Patients","adm_sym_d01_d06","17","103","17","17","0","86","0","5","305","5","5","0","300","0","21"
"114","0.20.2","1","1","1","54","4","3","47","1","67","RDT1","Patients","adm_sym_d01_d07","17","103","17","17","0","86","0","6","304","6","6","0","298","0","21"
"115","0.20.2","1","1","1","54","4","3","47","1","67","RDT1","Patients","adm_sym_d01_d08","17","103","17","17","0","86","0","8","310","8","8","0","302","0","45"
"116","0.20.2","1","1","1","54","4","3","47","1","67","RDT1","Patients","adm_sym_d01_d09","17","103","17","17","0","86","0","10","310","10","10","0","300","0","45"
"117","0.20.2","1","1","1","54","4","3","47","1","67","RDT1","Staff","adm","0","36","0","0","0","36","0","0","0","0","0","0","0","0","0"
"118","0.20.2","1","1","1","54","4","3","47","1","67","RDT1","Staff","sym","17","67","17","17","0","50","0","0","0","0","0","0","0","0","20"
"119","0.20.2","1","1","1","54","4","3","47","1","67","RDT1","Staff","adm_sym","17","103","17","17","0","86","0","0","0","0","0","0","0","0","20"
"120","0.20.2","1","1","1","54","4","3","47","1","67","RDT1","Staff","d01","0","0","0","0","0","0","0","3","236","3","3","0","233","0","6"
"121","0.20.2","1","1","1","54","4","3","47","1","67","RDT1","Staff","d02","0","0","0","0","0","0","0","3","237","3","3","0","234","0","6"
"122","0.20.2","1","1","1","54","4","3","47","1","67","RDT1","Staff","d03","0","0","0","0","0","0","0","5","238","5","5","0","233","0","26"
"123","0.20.2","1","1","1","54","4","3","47","1","67","RDT1","Staff","d04","0","0","0","0","0","0","0","5","239","5","5","0","234","0","26"
