"","immunity","IPC","Network","simulationCTC","incSarscov2","incIndex","incCommCases","incNosocomial","testingRound","incSymptoms","typeDailyScreening","targetDailyScreening","stratSurveillance","PCR.n_positive_and_tested","PCR.n_test","PCR.n_test_positive","PCR.n_test_true_positive","PCR.n_test_false_positive","PCR.n_test_true_negative","PCR.n_test_false_negative","RDT.n_positive_and_tested","RDT.n_test","RDT.n_test_positive","RDT.n_test_true_positive","RDT.n_test_false_positive","RDT.n_test_true_negative","RDT.n_test_false_negative","infAverted"
"1","0.20.2","1","1","3","79","4","1","74","1","85","PCR","Patients","adm","0","36","0","0","0","36","0","0","0","0","0","0","0","0","0"
"2","0.20.2","1","1","3","79","4","1","74","1","85","PCR","Patients","sym","29","85","29","29","0","56","0","0","0","0","0","0","0","0","19"
"3","0.20.2","1","1","3","79","4","1","74","1","85","PCR","Patients","adm_sym","29","121","29","29","0","92","0","0","0","0","0","0","0","0","19"
"4","0.20.2","1","1","3","79","4","1","74","1","85","PCR","Patients","d01","1","151","1","1","0","150","0","0","0","0","0","0","0","0","5"
"5","0.20.2","1","1","3","79","4","1","74","1","85","PCR","Patients","d02","3","152","3","3","0","149","0","0","0","0","0","0","0","0","36"
"6","0.20.2","1","1","3","79","4","1","74","1","85","PCR","Patients","d03","3","153","3","3","0","150","0","0","0","0","0","0","0","0","36"
"7","0.20.2","1","1","3","79","4","1","74","1","85","PCR","Patients","d04","3","156","3","3","0","153","0","0","0","0","0","0","0","0","34"
"8","0.20.2","1","1","3","79","4","1","74","1","85","PCR","Patients","d05","7","158","7","7","0","151","0","0","0","0","0","0","0","0","33"
"9","0.20.2","1","1","3","79","4","1","74","1","85","PCR","Patients","d06","9","154","9","9","0","145","0","0","0","0","0","0","0","0","42"
"10","0.20.2","1","1","3","79","4","1","74","1","85","PCR","Patients","d07","11","153","11","11","0","142","0","0","0","0","0","0","0","0","58"
"11","0.20.2","1","1","3","79","4","1","74","1","85","PCR","Patients","d08","11","159","11","11","0","148","0","0","0","0","0","0","0","0","40"
"12","0.20.2","1","1","3","79","4","1","74","1","85","PCR","Patients","d09","20","159","20","20","0","139","0","0","0","0","0","0","0","0","40"
"13","0.20.2","1","1","3","79","4","1","74","1","85","PCR","Patients","adm_sym_d01","30","272","30","30","0","242","0","0","0","0","0","0","0","0","19"
"14","0.20.2","1","1","3","79","4","1","74","1","85","PCR","Patients","adm_sym_d02","32","273","32","32","0","241","0","0","0","0","0","0","0","0","41"
"15","0.20.2","1","1","3","79","4","1","74","1","85","PCR","Patients","adm_sym_d03","32","274","32","32","0","242","0","0","0","0","0","0","0","0","41"
"16","0.20.2","1","1","3","79","4","1","74","1","85","PCR","Patients","adm_sym_d04","32","277","32","32","0","245","0","0","0","0","0","0","0","0","41"
"17","0.20.2","1","1","3","79","4","1","74","1","85","PCR","Patients","adm_sym_d05","36","279","36","36","0","243","0","0","0","0","0","0","0","0","50"
"18","0.20.2","1","1","3","79","4","1","74","1","85","PCR","Patients","adm_sym_d06","38","275","38","38","0","237","0","0","0","0","0","0","0","0","51"
"19","0.20.2","1","1","3","79","4","1","74","1","85","PCR","Patients","adm_sym_d07","40","274","40","40","0","234","0","0","0","0","0","0","0","0","65"
"20","0.20.2","1","1","3","79","4","1","74","1","85","PCR","Patients","adm_sym_d08","40","280","40","40","0","240","0","0","0","0","0","0","0","0","48"
"21","0.20.2","1","1","3","79","4","1","74","1","85","PCR","Patients","adm_sym_d09","49","280","49","49","0","231","0","0","0","0","0","0","0","0","48"
"22","0.20.2","1","1","3","79","4","1","74","1","85","PCR","Patients","adm_sym_d01_d02","33","424","33","33","0","391","0","0","0","0","0","0","0","0","41"
"23","0.20.2","1","1","3","79","4","1","74","1","85","PCR","Patients","adm_sym_d01_d03","33","425","33","33","0","392","0","0","0","0","0","0","0","0","41"
"24","0.20.2","1","1","3","79","4","1","74","1","85","PCR","Patients","adm_sym_d01_d04","33","428","33","33","0","395","0","0","0","0","0","0","0","0","41"
"25","0.20.2","1","1","3","79","4","1","74","1","85","PCR","Patients","adm_sym_d01_d05","37","430","37","37","0","393","0","0","0","0","0","0","0","0","50"
"26","0.20.2","1","1","3","79","4","1","74","1","85","PCR","Patients","adm_sym_d01_d06","39","426","39","39","0","387","0","0","0","0","0","0","0","0","51"
"27","0.20.2","1","1","3","79","4","1","74","1","85","PCR","Patients","adm_sym_d01_d07","41","425","41","41","0","384","0","0","0","0","0","0","0","0","65"
"28","0.20.2","1","1","3","79","4","1","74","1","85","PCR","Patients","adm_sym_d01_d08","41","431","41","41","0","390","0","0","0","0","0","0","0","0","48"
"29","0.20.2","1","1","3","79","4","1","74","1","85","PCR","Patients","adm_sym_d01_d09","50","431","50","50","0","381","0","0","0","0","0","0","0","0","48"
"30","0.20.2","1","1","3","79","4","1","74","1","85","PCR","Staff","adm","0","36","0","0","0","36","0","0","0","0","0","0","0","0","0"
"31","0.20.2","1","1","3","79","4","1","74","1","85","PCR","Staff","sym","29","85","29","29","0","56","0","0","0","0","0","0","0","0","19"
