"","immunity","IPC","Network","simulationCTC","incSarscov2","incIndex","incCommCases","incNosocomial","testingRound","incSymptoms","typeDailyScreening","targetDailyScreening","stratSurveillance","PCR.n_positive_and_tested","PCR.n_test","PCR.n_test_positive","PCR.n_test_true_positive","PCR.n_test_false_positive","PCR.n_test_true_negative","PCR.n_test_false_negative","RDT.n_positive_and_tested","RDT.n_test","RDT.n_test_positive","RDT.n_test_true_positive","RDT.n_test_false_positive","RDT.n_test_true_negative","RDT.n_test_false_negative","infAverted"
"1","0.20.2","1","2","2","26","4","2","20","1","70","PCR","Patients","adm","1","36","1","1","0","35","0","0","0","0","0","0","0","0","0"
"2","0.20.2","1","2","2","26","4","2","20","1","70","PCR","Patients","sym","11","70","7","7","0","59","4","0","0","0","0","0","0","0","18"
"3","0.20.2","1","2","2","26","4","2","20","1","70","PCR","Patients","adm_sym","12","106","8","8","0","94","4","0","0","0","0","0","0","0","18"
"4","0.20.2","1","2","2","26","4","2","20","1","70","PCR","Patients","d01","1","151","0","0","0","150","1","0","0","0","0","0","0","0","0"
"5","0.20.2","1","2","2","26","4","2","20","1","70","PCR","Patients","d02","1","152","0","0","0","151","1","0","0","0","0","0","0","0","0"
"6","0.20.2","1","2","2","26","4","2","20","1","70","PCR","Patients","d03","1","153","0","0","0","152","1","0","0","0","0","0","0","0","0"
"7","0.20.2","1","2","2","26","4","2","20","1","70","PCR","Patients","d04","2","156","0","0","0","154","2","0","0","0","0","0","0","0","0"
"8","0.20.2","1","2","2","26","4","2","20","1","70","PCR","Patients","d05","2","158","0","0","0","156","2","0","0","0","0","0","0","0","0"
"9","0.20.2","1","2","2","26","4","2","20","1","70","PCR","Patients","d06","5","154","1","1","0","149","4","0","0","0","0","0","0","0","0"
"10","0.20.2","1","2","2","26","4","2","20","1","70","PCR","Patients","d07","5","153","2","2","0","148","3","0","0","0","0","0","0","0","1"
"11","0.20.2","1","2","2","26","4","2","20","1","70","PCR","Patients","d08","5","159","3","3","0","154","2","0","0","0","0","0","0","0","11"
"12","0.20.2","1","2","2","26","4","2","20","1","70","PCR","Patients","d09","6","159","1","1","0","153","5","0","0","0","0","0","0","0","0"
