"","immunity","IPC","Network","simulationCTC","incSarscov2","incIndex","incCommCases","incNosocomial","testingRound","incSymptoms","typeDailyScreening","targetDailyScreening","stratSurveillance","PCR.n_positive_and_tested","PCR.n_test","PCR.n_test_positive","PCR.n_test_true_positive","PCR.n_test_false_positive","PCR.n_test_true_negative","PCR.n_test_false_negative","RDT.n_positive_and_tested","RDT.n_test","RDT.n_test_positive","RDT.n_test_true_positive","RDT.n_test_false_positive","RDT.n_test_true_negative","RDT.n_test_false_negative","infAverted"
"1","0.50.5","2","2","2","8","4","1","3","1","70","PCR","Patients","adm","0","36","0","0","0","36","0","0","0","0","0","0","0","0","0"
"2","0.50.5","2","2","2","8","4","1","3","1","70","PCR","Patients","sym","7","70","5","5","0","63","2","0","0","0","0","0","0","0","2"
"3","0.50.5","2","2","2","8","4","1","3","1","70","PCR","Patients","adm_sym","7","106","5","5","0","99","2","0","0","0","0","0","0","0","2"
"4","0.50.5","2","2","2","8","4","1","3","1","70","PCR","Patients","d01","1","151","0","0","0","150","1","0","0","0","0","0","0","0","0"
"5","0.50.5","2","2","2","8","4","1","3","1","70","PCR","Patients","d02","1","152","0","0","0","151","1","0","0","0","0","0","0","0","0"
"6","0.50.5","2","2","2","8","4","1","3","1","70","PCR","Patients","d03","1","153","0","0","0","152","1","0","0","0","0","0","0","0","0"
"7","0.50.5","2","2","2","8","4","1","3","1","70","PCR","Patients","d04","1","156","0","0","0","155","1","0","0","0","0","0","0","0","0"
"8","0.50.5","2","2","2","8","4","1","3","1","70","PCR","Patients","d05","1","158","1","1","0","157","0","0","0","0","0","0","0","0","2"
"9","0.50.5","2","2","2","8","4","1","3","1","70","PCR","Patients","d06","1","154","0","0","0","153","1","0","0","0","0","0","0","0","0"
"10","0.50.5","2","2","2","8","4","1","3","1","70","PCR","Patients","d07","1","153","0","0","0","152","1","0","0","0","0","0","0","0","0"
"11","0.50.5","2","2","2","8","4","1","3","1","70","PCR","Patients","d08","2","159","1","1","0","157","1","0","0","0","0","0","0","0","1"
